flow_id,timestamp,src_ip,dst_ip,dst_port,protocol,duration_sec,src_bytes,dst_bytes,packets,connections_2s,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,hour,is_weekend,label
TR00080,2026-08-16 21:19:25,10.14.8.11,140.82.121.4,443,TCP,10.815,81,268,2,7,0.0511,0.1443,0.4862,0.5611,21,1,0
TR00081,2026-08-11 04:15:49,10.14.5.4,44.236.72.93,443,TCP,22.971,2029,1117,2,4,0.0709,0.3294,0.6821,0.3398,4,0,0
TR00082,2026-08-16 01:55:30,10.14.5.4,104.16.132.229,443,TCP,15.108,31680,1740,21,6,0.0207,0.0679,0.3964,0.5952,1,1,0
TR00083,2026-08-15 04:10:44,10.14.9.18,44.236.72.93,1433,TCP,0.834,60,16,2,37,0.6787,0.2352,0.4025,0.8136,4,1,1
TR00084,2026-08-14 03:03:37,10.20.2.15,13.107.6.156,80,TCP,4.068,598,19298,14,6,0.0605,0.0909,0.9143,0.0611,3,0,0
TR00085,2026-08-16 14:44:07,10.20.9.10,140.82.121.4,53,UDP,8.148,293,5740,5,8,0.0212,0.1418,0.9732,0,14,1,0
TR00086,2026-08-12 23:26:20,10.14.9.18,13.107.6.156,443,TCP,155.582,10766765,7773,20272,7,0.0239,0.0668,0.889,0.0196,23,0,1
TR00087,2026-08-15 02:27:19,10.20.9.10,104.16.132.229,443,TCP,12.432,1148,5701,7,1,0.1026,0.0217,0.4367,0.5612,2,1,0
TR00088,2026-08-15 20:00:03,10.20.2.15,104.16.132.229,80,TCP,36.808,28340,4458,39,7,0.0715,0.0327,0.7259,0.2817,20,1,0
TR00089,2026-08-13 17:24:13,10.14.9.18,20.112.52.29,3389,TCP,34.57,948,787,2,5,0.1505,0.1644,0.6053,0.4544,17,0,0
TR00090,2026-08-16 07:08:07,10.14.9.18,20.112.52.29,3389,TCP,2.206,647,1660,2,4,0.0331,0.1736,0.9672,0,7,1,0
TR00091,2026-08-11 14:56:39,10.14.8.11,104.16.132.229,443,TCP,9.484,1485,1284,3,8,0.0412,0.1869,0.9251,0.029,14,0,0
TR00092,2026-08-12 11:20:12,10.14.5.4,44.236.72.93,1433,TCP,14.314,11498,1003,11,7,0.0864,0.1567,0.6834,0.2894,11,0,0
TR00093,2026-08-14 05:57:15,10.14.9.18,185.125.190.29,443,TCP,187.154,539,6265,4,14,0.0843,0.0097,0.7284,0.2925,5,0,0
TR00094,2026-08-16 11:35:39,10.14.8.11,44.236.72.93,445,TCP,13.54,499,21638,26,12,0.0541,0.0308,0.683,0.3701,11,1,0
TR00095,2026-08-16 01:38:03,10.20.9.10,142.250.74.14,443,TCP,94.405,25296266,59159,10706,2,0.0516,0.0444,0.8139,0.0092,1,1,1
TR00096,2026-08-16 17:17:25,10.14.7.23,142.250.74.14,443,TCP,6.827,418,1569,2,9,0.0037,0.08,0.9025,0.1475,17,1,0
TR00097,2026-08-14 02:37:19,10.14.9.18,185.125.190.29,53,UDP,1.823,4212,86,2,5,0.0427,0.0365,0.6509,0.3708,2,0,0
TR00098,2026-08-15 14:58:50,10.20.9.10,185.125.190.29,80,TCP,27.585,966,11388,18,9,0.0741,0.1062,0.6503,0.3698,14,1,0
TR00099,2026-08-11 19:13:30,10.14.9.18,20.112.52.29,22,TCP,0.377,127,6,2,72,0.5639,0.2264,0.4376,0.6297,19,0,1
TR00100,2026-08-13 18:43:53,10.14.9.18,140.82.121.4,3389,TCP,9.853,6294,1393,7,3,0.0936,0.0614,0.5799,0.3486,18,0,0
TR00101,2026-08-12 04:38:19,10.14.9.18,104.16.132.229,443,TCP,66.792,15544246,26268,24536,4,0.0491,0.041,0.8632,0.0061,4,0,1
TR00102,2026-08-14 04:46:43,10.14.8.11,20.112.52.29,443,TCP,3.778,695,504,7,1,0.031,0.0448,0.943,0.0192,4,0,1
TR00103,2026-08-14 09:49:45,10.20.9.10,185.125.190.29,3389,TCP,33.856,4217,610,5,1,0.0579,0.1792,0.8196,0.1149,9,0,0
TR00104,2026-08-14 15:44:21,10.14.7.23,104.16.132.229,80,TCP,78.286,1717,1127,2,2,0.0446,0.0672,0.7577,0.3222,15,0,0
TR00105,2026-08-13 03:55:28,10.14.5.4,13.107.6.156,443,TCP,30.613,166729,311,157,3,0.0061,0.0885,0.845,0.1437,3,0,0
TR00106,2026-08-14 01:57:31,10.14.7.23,142.250.74.14,80,TCP,28.202,5168,5963,9,2,0.2284,0.2946,0.7127,0.2678,1,0,0
TR00107,2026-08-15 18:48:53,10.14.5.4,104.16.132.229,443,TCP,15.429,456,3367,2,6,0.095,0.1235,0.447,0.6295,18,1,0
TR00108,2026-08-14 18:18:33,10.20.2.15,44.236.72.93,22,TCP,114.51,358,1256,2,7,0.1615,0.0306,0.8671,0.0595,18,0,0
TR00109,2026-08-10 15:38:21,10.14.7.23,185.125.190.29,3389,TCP,47.399,1183,29570,25,4,0.1958,0.0178,0.8716,0.2,15,0,0
TR00110,2026-08-13 04:58:35,10.20.9.10,104.16.132.229,443,TCP,3.036,480,173,3,4,0.0174,0.0083,0.9686,0.0659,4,0,1
TR00111,2026-08-12 00:21:05,10.14.8.11,142.250.74.14,443,TCP,4.99,807,477,8,1,0.0146,0.0095,0.9972,0.0505,0,0,1
TR00112,2026-08-11 00:30:09,10.20.9.10,104.16.132.229,445,TCP,2.525,25346,15758,68,6,0.0575,0.0486,0.8637,0.149,0,0,0
TR00113,2026-08-15 18:57:25,10.20.2.15,185.125.190.29,25,TCP,6.482,820,1301,2,1,0.1951,0.1183,0.6279,0.3465,18,1,0
TR00114,2026-08-12 04:02:23,10.20.2.15,185.125.190.29,3389,TCP,21.133,374,6624,4,1,0.0953,0.0311,0.6199,0.4057,4,0,0
TR00115,2026-08-16 02:43:10,10.20.9.10,44.236.72.93,443,TCP,71.118,25525930,67288,34779,1,0.035,0.0378,0.7587,0.0183,2,1,1
TR00116,2026-08-14 01:05:23,10.20.9.10,142.250.74.14,3389,TCP,5.911,1827,4500,10,11,0.2101,0.0749,0.7691,0.2809,1,0,0
TR00117,2026-08-15 23:34:29,10.14.9.18,13.107.6.156,443,TCP,37.523,8076,1360,18,5,0.1359,0.0577,0.4002,0.6224,23,1,0
TR00118,2026-08-10 12:13:26,10.20.9.10,20.112.52.29,443,TCP,0.656,110,59,1,57,0.8105,0.3153,0.3879,0.6532,12,0,1
TR00119,2026-08-16 21:18:47,10.14.8.11,185.125.190.29,445,TCP,8.088,19897,62161,62,5,0.1179,0.0609,0.8769,0.0497,21,1,0
TR00120,2026-08-11 01:34:27,10.14.5.4,13.107.6.156,22,TCP,13.601,257,14413,24,5,0.0955,0.0103,0.6215,0.4498,1,0,0
TR00121,2026-08-15 05:03:41,10.20.2.15,142.250.74.14,443,TCP,38.886,8387,6799,24,1,0.153,0.1602,0.9873,0,5,1,0
TR00122,2026-08-16 23:20:45,10.14.9.18,20.112.52.29,80,TCP,5.633,418,2979,4,9,0.1794,0.0303,0.7706,0.2165,23,1,0
TR00123,2026-08-16 14:39:53,10.20.2.15,44.236.72.93,53,UDP,24.253,2317,164,2,1,0.0325,0.089,0.6617,0.3091,14,1,0
TR00124,2026-08-13 11:24:52,10.20.2.15,44.236.72.93,445,TCP,1.18,192,18,4,84,0.6883,0.1245,0.1973,0.8606,11,0,1
TR00125,2026-08-11 06:53:43,10.14.5.4,185.125.190.29,443,TCP,14.822,596,19734,21,9,0.0843,0.0996,0.7895,0.2155,6,0,0
TR00126,2026-08-14 06:33:54,10.14.5.4,13.107.6.156,80,TCP,27.853,8195,574,8,1,0.1918,0.121,0.5181,0.4432,6,0,0
TR00127,2026-08-10 00:21:04,10.20.9.10,104.16.132.229,443,TCP,165.633,8389540,36214,30700,4,0.0607,0.0749,0.8263,0.2175,0,0,1
TR00128,2026-08-10 16:36:38,10.20.9.10,20.112.52.29,80,TCP,11.563,4548,49,6,9,0.1043,0.1692,0.7124,0.3402,16,0,0
TR00129,2026-08-13 10:39:29,10.14.9.18,140.82.121.4,443,TCP,127.914,6072,15136,17,6,0.2536,0.0363,0.6685,0.3655,10,0,0
TR00130,2026-08-15 15:59:26,10.14.7.23,44.236.72.93,443,TCP,63.199,450,3972,2,4,0.1056,0.1408,0.5364,0.5397,15,1,0
TR00131,2026-08-13 01:05:32,10.14.8.11,13.107.6.156,443,TCP,143.999,16208640,54656,15190,8,0.0035,0.016,0.7881,0.2189,1,0,1
TR00132,2026-08-13 01:44:53,10.14.7.23,104.16.132.229,80,TCP,52.151,811,2041,3,2,0.0112,0.0303,0.6406,0.4269,1,0,0
TR00133,2026-08-16 23:34:01,10.20.2.15,185.125.190.29,443,TCP,198.221,279,5963,4,7,0.0971,0.0001,0.4624,0.5079,23,1,0
TR00134,2026-08-10 06:50:02,10.20.9.10,142.250.74.14,80,TCP,46.917,451,3852,4,12,0.0619,0.0172,0.7257,0.3528,6,0,0
TR00135,2026-08-13 08:19:53,10.14.9.18,104.16.132.229,1433,TCP,5.799,2496,5387,11,1,0.17,0.0202,0.9015,0.1763,8,0,0
TR00136,2026-08-14 14:19:19,10.14.8.11,20.112.52.29,80,TCP,18.49,4386,1372,6,3,0.1744,0.0108,0.4787,0.5696,14,0,0
TR00137,2026-08-13 12:57:59,10.14.7.23,185.125.190.29,443,TCP,13.515,850,9055,17,10,0.0636,0.0997,0.837,0.1829,12,0,0
TR00138,2026-08-14 00:34:37,10.14.5.4,13.107.6.156,443,TCP,108.956,28708488,33051,30199,8,0.0777,0.0418,0.8662,0.1735,0,0,1
TR00139,2026-08-16 01:19:08,10.20.9.10,142.250.74.14,443,TCP,37.313,21014,3161,31,7,0.0253,0.0246,0.9848,0.0237,1,1,0
TR00140,2026-08-13 00:35:20,10.14.7.23,185.125.190.29,3389,TCP,4.724,6257,5609,9,2,0.1461,0.2073,0.5404,0.4736,0,0,0
TR00141,2026-08-15 19:55:16,10.20.2.15,44.236.72.93,80,TCP,103.637,397,740,2,7,0.0866,0.0276,0.6648,0.296,19,1,0
TR00142,2026-08-13 01:41:28,10.20.2.15,44.236.72.93,80,TCP,28.821,7032,937,5,6,0.1484,0.0078,0.3497,0.6213,1,0,0
TR00143,2026-08-11 03:00:35,10.14.7.23,104.16.132.229,443,TCP,1.12,832,421,8,6,0.0422,0.0337,0.9374,0.0018,3,0,1
TR00144,2026-08-16 06:42:56,10.20.2.15,13.107.6.156,22,TCP,3.898,18470,2214,39,12,0.1698,0.0528,0.5283,0.4171,6,1,0
TR00145,2026-08-15 18:30:59,10.14.9.18,140.82.121.4,53,UDP,12.936,2622,659,2,10,0.1097,0.1235,0.7948,0.1729,18,1,0
TR00146,2026-08-11 02:34:22,10.14.8.11,142.250.74.14,443,TCP,5.954,531,252,8,2,0.0462,0.0192,0.9885,0.058,2,0,1
TR00147,2026-08-10 12:52:35,10.14.7.23,44.236.72.93,3389,TCP,0.894,119,9,3,33,0.9577,0.0524,0.3559,0.8243,12,0,1
TR00148,2026-08-13 22:37:58,10.20.9.10,140.82.121.4,80,TCP,4.356,600,3241,6,5,0.0372,0.0845,0.8788,0.1322,22,0,0
TR00149,2026-08-14 13:06:24,10.14.8.11,20.112.52.29,443,TCP,37.461,489,3844,3,2,0.033,0.1181,0.539,0.399,13,0,0
TR00150,2026-08-14 19:15:58,10.14.5.4,185.125.190.29,443,TCP,14.1,13761,8211,41,5,0.0361,0.0184,0.7283,0.2809,19,0,0
TR00151,2026-08-11 05:24:38,10.20.9.10,140.82.121.4,3389,TCP,4.549,803,37003,63,2,0.0034,0.0035,0.5453,0.4866,5,0,0
TR00152,2026-08-13 02:15:27,10.14.7.23,44.236.72.93,53,UDP,55.566,5185,6475,9,6,0.0014,0.0331,0.6056,0.364,2,0,0
TR00153,2026-08-12 23:46:41,10.14.9.18,13.107.6.156,443,TCP,3.891,280,654,7,5,0.0256,0.017,0.9116,0.0456,23,0,1
TR00154,2026-08-11 08:06:05,10.14.8.11,104.16.132.229,1433,TCP,15.277,8927,2205,7,3,0.164,0.0556,0.8531,0.1164,8,0,0
TR00155,2026-08-10 10:04:33,10.20.9.10,104.16.132.229,80,TCP,3.972,11027,3848,11,7,0.1079,0.0766,0.7419,0.1968,10,0,0
TR00156,2026-08-10 13:56:50,10.14.9.18,104.16.132.229,445,TCP,67.623,1300,1307,2,8,0.2506,0.049,0.8792,0.1025,13,0,0
TR00157,2026-08-11 04:52:41,10.14.9.18,140.82.121.4,443,TCP,5.986,364,422,2,6,0.0313,0.034,0.9712,0.091,4,0,1
TR00158,2026-08-16 21:06:53,10.20.2.15,13.107.6.156,22,TCP,13.76,866,30388,21,10,0.0129,0.1255,0.6084,0.3474,21,1,0
TR00159,2026-08-15 21:01:40,10.20.9.10,13.107.6.156,80,TCP,9.559,2116,156,2,6,0.0278,0.0976,0.7196,0.3484,21,1,0
TR00160,2026-08-16 06:23:50,10.14.5.4,142.250.74.14,443,TCP,4.534,492,4071,3,11,0.0421,0.0556,0.9228,0.1244,6,1,0
TR00161,2026-08-14 03:29:24,10.14.9.18,20.112.52.29,22,TCP,14.764,2117,254,2,5,0.0363,0.0638,0.5801,0.4587,3,0,0
TR00162,2026-08-10 16:44:26,10.20.2.15,140.82.121.4,53,UDP,21.878,1397,952,2,4,0.0659,0.0106,0.8522,0.208,16,0,0
TR00163,2026-08-10 08:08:23,10.20.2.15,20.112.52.29,53,UDP,90.738,2492,3168,4,6,0.1883,0.0466,0.9226,0.0167,8,0,0
TR00164,2026-08-15 03:48:56,10.14.5.4,104.16.132.229,3389,TCP,7.528,3995,2475,9,7,0.0329,0.1255,0.5501,0.5049,3,1,0
TR00165,2026-08-14 02:51:43,10.14.8.11,13.107.6.156,80,TCP,8.874,3142,5378,10,4,0.0694,0.0029,0.9228,0.1466,2,0,0
TR00166,2026-08-15 11:47:26,10.14.7.23,44.236.72.93,443,TCP,126.73,455,2547,2,9,0.0348,0.0221,0.8722,0.0537,11,1,0
TR00167,2026-08-15 00:06:56,10.14.9.18,13.107.6.156,3389,TCP,55.29,418,10818,17,12,0.0999,0.1176,0.9226,0.0623,0,1,0
TR00168,2026-08-10 14:15:18,10.14.9.18,20.112.52.29,80,TCP,50.386,13681,1497,10,1,0.0971,0.0267,0.7496,0.3162,14,0,0
TR00169,2026-08-14 15:53:22,10.14.5.4,13.107.6.156,80,TCP,27.101,4477,7256,7,14,0.3247,0.1564,0.5395,0.5355,15,0,0
TR00170,2026-08-15 19:05:54,10.20.2.15,104.16.132.229,80,TCP,27.818,2422,356,5,4,0.0708,0.2079,0.9591,0.0608,19,1,0
TR00171,2026-08-10 09:45:17,10.14.8.11,185.125.190.29,443,TCP,51.779,2010,1373,4,3,0.034,0.1191,0.8789,0.1992,9,0,0
TR00172,2026-08-15 04:47:39,10.14.7.23,104.16.132.229,80,TCP,14.289,3310,4191,8,6,0.0519,0.0149,0.6193,0.3951,4,1,0
TR00173,2026-08-10 04:35:55,10.14.8.11,140.82.121.4,389,TCP,1.022,118,109,5,65,0.4852,0.3862,0.3039,0.8294,4,0,1
TR00174,2026-08-12 04:59:23,10.14.9.18,142.250.74.14,53,UDP,6.184,1369,878,2,3,0.142,0.021,0.6202,0.3461,4,0,0
