event_id,timestamp,user_id,source_ip,destination_host,logon_type,result,failure_reason,process
A00034,2026-08-11 08:41:42,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00035,2026-08-11 08:51:29,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00036,2026-08-11 09:19:57,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00037,2026-08-11 09:35:11,mhamukoto,10.14.9.18,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00038,2026-08-11 09:37:37,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00039,2026-08-11 09:47:38,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00040,2026-08-11 10:14:26,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00041,2026-08-11 10:30:44,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00042,2026-08-11 11:23:43,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00043,2026-08-11 11:27:40,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00044,2026-08-11 12:07:32,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00045,2026-08-11 12:36:47,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00046,2026-08-11 13:26:00,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00047,2026-08-11 13:52:26,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00048,2026-08-11 13:59:51,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00049,2026-08-11 14:02:26,mhamukoto,10.14.9.18,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00050,2026-08-11 14:13:23,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00051,2026-08-11 14:16:56,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00052,2026-08-11 14:29:57,lamutenya,10.14.8.11,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00053,2026-08-11 14:42:04,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00054,2026-08-11 16:15:04,nshikongo,10.14.7.23,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00055,2026-08-11 16:19:18,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00056,2026-08-11 16:49:44,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00057,2026-08-11 16:57:21,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00058,2026-08-11 18:07:01,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00059,2026-08-11 18:51:14,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00060,2026-08-11 20:07:35,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00061,2026-08-11 20:27:42,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00062,2026-08-11 20:49:59,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00063,2026-08-11 21:15:29,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00064,2026-08-11 21:26:24,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00065,2026-08-12 00:05:27,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00066,2026-08-12 06:06:27,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00067,2026-08-12 06:33:27,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00068,2026-08-12 07:06:25,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00069,2026-08-12 07:07:22,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,FAILURE,Bad password,lsass.exe
A00070,2026-08-12 07:17:40,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00071,2026-08-12 07:23:03,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,FAILURE,Bad password,lsass.exe
A00072,2026-08-12 07:37:25,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00073,2026-08-12 07:39:10,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00074,2026-08-12 07:41:03,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00075,2026-08-12 09:05:13,mhamukoto,10.14.9.18,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00076,2026-08-12 09:15:57,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00077,2026-08-12 09:27:06,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00078,2026-08-12 09:37:13,nshikongo,10.14.7.23,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00079,2026-08-12 09:45:23,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,FAILURE,Account locked,lsass.exe
A00080,2026-08-12 09:52:37,nshikongo,10.14.7.23,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00081,2026-08-12 09:57:10,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00082,2026-08-12 10:17:26,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00083,2026-08-12 10:21:17,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00084,2026-08-12 11:51:57,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00085,2026-08-12 12:02:47,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00086,2026-08-12 12:28:52,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00087,2026-08-12 12:35:19,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00088,2026-08-12 14:03:20,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00089,2026-08-12 14:14:00,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00090,2026-08-12 14:23:47,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00091,2026-08-12 14:47:27,lamutenya,10.14.8.11,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00092,2026-08-12 14:54:46,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00093,2026-08-12 14:59:29,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00094,2026-08-12 15:55:33,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00095,2026-08-12 18:08:01,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00096,2026-08-12 18:09:01,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,FAILURE,Unknown user,lsass.exe
A00097,2026-08-12 18:53:31,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00098,2026-08-12 18:58:21,mhamukoto,10.14.9.18,AD-CORE-01,Network,FAILURE,Account locked,lsass.exe
A00099,2026-08-13 00:08:56,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00100,2026-08-13 06:00:48,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00101,2026-08-13 06:59:52,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00102,2026-08-13 07:48:51,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00103,2026-08-13 07:48:54,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00104,2026-08-13 07:53:49,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00105,2026-08-13 07:55:56,mhamukoto,10.14.9.18,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00106,2026-08-13 08:06:58,nshikongo,10.14.7.23,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00107,2026-08-13 08:17:06,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00108,2026-08-13 08:21:13,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00109,2026-08-13 09:07:50,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00110,2026-08-13 10:19:35,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00111,2026-08-13 10:24:39,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00112,2026-08-13 10:27:20,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00113,2026-08-13 10:28:34,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00114,2026-08-13 10:41:12,lamutenya,10.14.8.11,AD-CORE-01,Interactive,FAILURE,Unknown user,lsass.exe
A00115,2026-08-13 10:52:24,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00116,2026-08-13 10:55:25,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00117,2026-08-13 11:27:17,lamutenya,10.14.8.11,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00118,2026-08-13 11:33:26,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00119,2026-08-13 12:02:56,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00120,2026-08-13 12:07:28,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00121,2026-08-13 13:03:55,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00122,2026-08-13 13:52:10,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00123,2026-08-13 14:59:39,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00124,2026-08-13 15:15:42,lamutenya,10.14.8.11,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00125,2026-08-13 15:32:14,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00126,2026-08-13 16:14:48,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00127,2026-08-13 16:38:09,lamutenya,10.14.8.11,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00128,2026-08-13 16:58:50,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00129,2026-08-13 17:06:36,nshikongo,10.14.7.23,AD-CORE-01,Interactive,FAILURE,Unknown user,lsass.exe
A00130,2026-08-13 17:42:11,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00131,2026-08-13 17:47:52,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00132,2026-08-13 18:10:24,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00133,2026-08-13 18:37:10,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00134,2026-08-13 18:42:44,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00135,2026-08-13 18:47:40,mhamukoto,10.14.9.18,AD-CORE-01,Network,FAILURE,Account locked,lsass.exe
A00136,2026-08-13 20:17:01,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00137,2026-08-14 00:02:57,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00138,2026-08-14 06:04:48,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00139,2026-08-14 07:01:58,nshikongo,10.14.7.23,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00140,2026-08-14 07:09:45,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00141,2026-08-14 07:18:34,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00142,2026-08-14 07:42:11,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00143,2026-08-14 07:45:21,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00144,2026-08-14 07:47:53,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00145,2026-08-14 08:09:02,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,FAILURE,Account locked,lsass.exe
A00146,2026-08-14 08:11:55,mhamukoto,10.14.9.18,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00147,2026-08-14 08:19:20,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00148,2026-08-14 08:38:24,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00149,2026-08-14 09:04:56,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00150,2026-08-14 09:14:58,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00151,2026-08-14 09:18:12,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00152,2026-08-14 09:57:29,nshikongo,10.14.7.23,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00153,2026-08-14 10:19:43,nshikongo,10.14.7.23,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00154,2026-08-14 11:02:37,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00155,2026-08-14 11:23:54,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00156,2026-08-14 11:48:13,nshikongo,10.14.7.23,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00157,2026-08-14 11:57:41,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00158,2026-08-14 12:07:54,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00159,2026-08-14 12:08:56,lamutenya,10.14.8.11,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00160,2026-08-14 12:21:38,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00161,2026-08-14 12:25:37,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00162,2026-08-14 12:28:03,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00163,2026-08-14 12:31:07,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00164,2026-08-14 12:54:39,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00165,2026-08-14 13:24:52,lamutenya,10.14.8.11,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00166,2026-08-14 14:15:22,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00167,2026-08-14 15:05:25,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,FAILURE,Bad password,lsass.exe
A00168,2026-08-14 16:02:13,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00169,2026-08-14 16:08:31,nshikongo,10.14.7.23,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00170,2026-08-14 16:12:07,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00171,2026-08-14 16:38:15,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00172,2026-08-14 18:07:00,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00173,2026-08-14 18:22:29,mhamukoto,10.14.9.18,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00174,2026-08-14 18:51:20,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00175,2026-08-15 00:07:15,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00176,2026-08-15 01:41:02,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,FAILURE,Bad password,mstsc.exe
A00177,2026-08-15 01:41:14,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,FAILURE,Bad password,mstsc.exe
A00178,2026-08-15 01:41:29,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,FAILURE,Bad password,mstsc.exe
A00179,2026-08-15 01:41:47,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,FAILURE,Bad password,mstsc.exe
A00180,2026-08-15 01:42:03,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,FAILURE,Bad password,mstsc.exe
A00181,2026-08-15 01:42:19,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,FAILURE,Bad password,mstsc.exe
A00182,2026-08-15 01:42:38,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,mstsc.exe
A00183,2026-08-15 01:52:07,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,powershell.exe
A00184,2026-08-15 02:21:43,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,powershell.exe
A00185,2026-08-15 06:10:42,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00186,2026-08-15 07:29:46,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00187,2026-08-15 07:54:58,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00188,2026-08-15 08:06:23,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00189,2026-08-15 08:16:55,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00190,2026-08-15 08:26:49,mhamukoto,10.14.9.18,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00191,2026-08-15 08:48:24,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00192,2026-08-15 08:55:29,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00193,2026-08-15 08:56:37,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00194,2026-08-15 10:43:46,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00195,2026-08-15 11:18:57,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00196,2026-08-15 11:39:46,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00197,2026-08-15 11:45:50,lamutenya,10.14.8.11,AD-CORE-01,Interactive,FAILURE,Unknown user,lsass.exe
A00198,2026-08-15 12:06:52,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00199,2026-08-15 12:17:36,mhamukoto,10.14.9.18,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00200,2026-08-15 12:43:43,nshikongo,10.14.7.23,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00201,2026-08-15 13:05:31,lamutenya,10.14.8.11,AD-CORE-01,RemoteInteractive,FAILURE,Bad password,lsass.exe
A00202,2026-08-15 14:02:44,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00203,2026-08-15 14:30:42,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00204,2026-08-15 14:34:38,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00205,2026-08-15 15:08:04,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00206,2026-08-15 15:08:34,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,FAILURE,Unknown user,lsass.exe
A00207,2026-08-15 15:46:23,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,FAILURE,Unknown user,lsass.exe
A00208,2026-08-15 15:46:33,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00209,2026-08-15 16:26:41,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00210,2026-08-15 16:29:42,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00211,2026-08-15 17:12:53,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00212,2026-08-15 17:32:23,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00213,2026-08-15 17:38:32,nshikongo,10.14.7.23,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00214,2026-08-15 17:40:32,mhamukoto,10.14.9.18,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00215,2026-08-15 18:09:11,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00216,2026-08-15 20:31:38,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00217,2026-08-15 21:56:16,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00218,2026-08-16 00:04:40,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00219,2026-08-16 06:02:03,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00220,2026-08-16 07:16:51,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
