flow_id,timestamp,src_ip,dst_ip,dst_port,protocol,duration_sec,src_bytes,dst_bytes,packets,connections_2s,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,hour,is_weekend
INV00104,2026-08-10 07:24:04,10.14.5.4,142.250.74.14,3389,TCP,18.247,2593,936,3,6,0.2324,0.1139,0.5593,0.4989,7,0
INV00108,2026-08-10 07:37:50,10.14.5.4,185.125.190.29,25,TCP,0.865,1237,2384,4,8,0.09,0.1115,0.9348,0,7,0
INV00374,2026-08-10 07:42:46,10.14.8.11,142.250.74.14,443,TCP,30.421,5054,434,7,6,0.0042,0.1495,0.6412,0.2835,7,0
INV00192,2026-08-10 08:21:08,10.20.2.15,44.236.72.93,53,UDP,24.241,19243,3681,24,7,0.1255,0.0589,0.5738,0.3766,8,0
INV00023,2026-08-10 08:36:38,10.14.9.18,140.82.121.4,443,TCP,18.699,4980,5297,14,3,0.0365,0.0978,0.7995,0.2789,8,0
INV00165,2026-08-10 09:22:03,10.14.7.23,44.236.72.93,3389,TCP,13.682,151,754,2,4,0.2213,0.2653,0.5566,0.4286,9,0
INV00045,2026-08-10 09:39:55,10.14.7.23,20.112.52.29,3389,TCP,4.995,66865,4596,55,7,0.1632,0.1567,0.9012,0.0843,9,0
INV00326,2026-08-10 09:57:58,10.14.7.23,20.112.52.29,80,TCP,122.297,3598,7759,15,3,0.1435,0.0019,0.8402,0.1308,9,0
INV00152,2026-08-10 10:15:43,10.20.9.10,44.236.72.93,80,TCP,37.142,2342,115,2,12,0.1829,0.0146,0.6719,0.2742,10,0
INV00334,2026-08-10 10:40:55,10.14.5.4,104.16.132.229,445,TCP,108.373,327,40770,33,1,0.0059,0.0321,0.6934,0.3307,10,0
INV00307,2026-08-10 11:18:26,10.14.9.18,104.16.132.229,443,TCP,28.487,605,17803,26,12,0.1585,0.1166,0.7287,0.3407,11,0
INV00039,2026-08-10 11:30:46,10.14.7.23,44.236.72.93,3389,TCP,19.012,1568,350500,507,1,0.0429,0.0738,0.6893,0.2636,11,0
INV00248,2026-08-10 11:34:07,10.14.5.4,20.112.52.29,443,TCP,14.256,8012,916,8,9,0.088,0.098,0.8262,0.1506,11,0
INV00179,2026-08-10 11:51:45,10.20.2.15,13.107.6.156,3389,TCP,30.896,6250,87,4,7,0.1486,0.0114,0.9451,0,11,0
INV00359,2026-08-10 12:31:30,10.20.2.15,185.125.190.29,1433,TCP,7.671,327,36358,64,1,0.1483,0.0903,0.8096,0.1828,12,0
INV00172,2026-08-10 12:33:11,10.14.7.23,142.250.74.14,80,TCP,36.488,414,1476,2,8,0.0479,0.029,0.5461,0.4171,12,0
INV00170,2026-08-10 12:42:30,10.14.7.23,20.112.52.29,53,UDP,14.297,318,6666,11,8,0.0768,0.0799,0.6202,0.3285,12,0
INV00244,2026-08-10 13:34:27,10.20.2.15,142.250.74.14,443,TCP,7.354,146,199,2,13,0.0412,0.064,0.6018,0.4581,13,0
INV00166,2026-08-10 13:39:10,10.20.9.10,20.112.52.29,443,TCP,21.724,971,14592,22,1,0.0367,0.096,0.7573,0.2927,13,0
INV00296,2026-08-10 15:07:00,10.20.9.10,185.125.190.29,80,TCP,33.022,4068,2433,10,4,0.0448,0.026,0.7897,0.2473,15,0
INV00097,2026-08-10 15:08:45,10.20.9.10,185.125.190.29,443,TCP,15.964,3262,57651,54,12,0.0786,0.1835,0.8336,0.1897,15,0
INV00319,2026-08-10 15:18:31,10.20.2.15,44.236.72.93,80,TCP,9.138,471,9988,10,8,0.0075,0.0189,0.8892,0.1252,15,0
INV00064,2026-08-10 15:29:07,10.14.8.11,142.250.74.14,80,TCP,67.37,5783,4009,9,1,0.1119,0.0695,0.6075,0.4283,15,0
INV00188,2026-08-10 15:45:19,10.20.9.10,13.107.6.156,443,TCP,4.311,2921,17395,14,6,0.3278,0.0214,0.933,0.128,15,0
INV00056,2026-08-10 16:33:02,10.14.8.11,104.16.132.229,445,TCP,16.998,3558,3916,7,7,0.1121,0.0114,0.8622,0.1166,16,0
INV00020,2026-08-10 16:35:50,10.20.2.15,44.236.72.93,80,TCP,28.167,4630,26295,47,2,0.1599,0.2131,0.8485,0.2155,16,0
INV00390,2026-08-10 16:44:13,10.14.5.4,20.112.52.29,3389,TCP,43.096,2190,884,2,2,0.1277,0.1249,0.9394,0,16,0
INV00010,2026-08-10 17:08:28,10.14.9.18,13.107.6.156,443,TCP,31.223,159,1930,2,6,0.0058,0.1514,0.7979,0.174,17,0
INV00347,2026-08-10 17:33:09,10.14.7.23,13.107.6.156,443,TCP,12.871,3216,130286,111,1,0.0365,0.0165,0.8534,0.139,17,0
INV00191,2026-08-10 17:51:47,10.20.2.15,20.112.52.29,443,TCP,42.632,9081,3142,10,13,0.0873,0.0492,0.7048,0.2564,17,0
INV00037,2026-08-10 17:52:48,10.14.9.18,185.125.190.29,443,TCP,22.241,1470,38783,25,3,0.0487,0.1197,0.8832,0.0705,17,0
INV00419,2026-08-10 17:55:16,10.14.7.23,104.16.132.229,1433,TCP,6.268,2793,239,2,2,0.0372,0.16,0.7852,0.2763,17,0
INV00155,2026-08-10 18:24:13,10.20.2.15,104.16.132.229,3389,TCP,91.673,1786,3044,9,5,0.1214,0.0751,0.6671,0.3482,18,0
INV00110,2026-08-10 18:31:23,10.20.2.15,13.107.6.156,3389,TCP,2.971,2884,3817,10,2,0.1674,0.0241,0.5043,0.4571,18,0
INV00231,2026-08-10 18:39:20,10.14.8.11,104.16.132.229,80,TCP,42.937,2871,1498,5,7,0.0815,0.0437,0.9675,0.103,18,0
INV00209,2026-08-10 18:49:19,10.20.2.15,13.107.6.156,1433,TCP,42.389,132,2231,2,1,0.0769,0.0978,0.6788,0.3245,18,0
INV00147,2026-08-10 18:52:11,10.14.8.11,44.236.72.93,3389,TCP,20.362,1640,65558,43,6,0.0063,0.0708,0.7562,0.2907,18,0
INV00265,2026-08-10 19:13:22,10.14.7.23,20.112.52.29,443,TCP,44.794,1251,31121,30,12,0.0354,0.1318,0.9476,0.0284,19,0
INV00202,2026-08-10 21:03:16,10.14.9.18,13.107.6.156,443,TCP,1.331,5249,5407,7,7,0.042,0.0441,0.6319,0.4186,21,0
INV00220,2026-08-10 22:04:21,10.20.2.15,104.16.132.229,80,TCP,30.253,1295,5740,7,6,0.1332,0.1724,0.3804,0.6128,22,0
INV00243,2026-08-10 22:33:53,10.14.8.11,140.82.121.4,443,TCP,1.372,13567,24545,53,1,0.187,0.0258,0.7278,0.2187,22,0
INV00253,2026-08-10 22:35:11,10.14.5.4,104.16.132.229,80,TCP,3.979,2595,4213,4,5,0.0536,0.0601,0.7581,0.2286,22,0
INV00403,2026-08-10 22:41:54,10.14.7.23,140.82.121.4,1433,TCP,31.609,2601,137121,163,3,0.1284,0.1562,0.8671,0.1846,22,0
INV00017,2026-08-10 22:49:05,10.14.9.18,20.112.52.29,22,TCP,34.386,37313,959,27,3,0.051,0.0749,0.8676,0.2039,22,0
INV00004,2026-08-10 22:50:31,10.20.9.10,185.125.190.29,22,TCP,3.122,1093,39723,34,8,0.0043,0.1523,0.8329,0.0976,22,0
INV00196,2026-08-10 23:08:38,10.14.7.23,142.250.74.14,53,UDP,14.033,2474,1925,4,9,0.0392,0.1342,0.8727,0.1576,23,0
INV00098,2026-08-10 23:18:17,10.14.9.18,104.16.132.229,445,TCP,21.271,7366,7848,9,4,0.1073,0.1032,0.7342,0.249,23,0
INV00118,2026-08-10 23:47:20,10.14.9.18,142.250.74.14,53,UDP,7.609,3562,15533,15,8,0.2143,0.6089,0.4547,0.5873,23,0
INV00167,2026-08-11 00:02:55,10.14.9.18,20.112.52.29,80,TCP,46.74,4710,9951,15,4,0.0033,0.0637,0.6421,0.4338,0,0
INV00402,2026-08-11 00:25:27,10.14.5.4,104.16.132.229,443,TCP,19.005,5644,1308,5,7,0.1105,0.0255,0.498,0.4919,0,0
INV00423,2026-08-11 00:32:54,10.20.9.10,140.82.121.4,443,TCP,13.576,2755,51908,65,1,0.0837,0.046,0.7185,0.3324,0,0
INV00086,2026-08-11 01:18:55,10.14.5.4,44.236.72.93,1433,TCP,8.367,9773,7434,28,3,0.1154,0.0436,0.7037,0.2449,1,0
INV00234,2026-08-11 02:08:06,10.14.7.23,140.82.121.4,443,TCP,6.865,40,9545,6,9,0.1271,0.047,0.6584,0.3837,2,0
INV00139,2026-08-11 02:16:23,10.14.8.11,13.107.6.156,1433,TCP,46.453,2070,243,2,1,0.0097,0.0799,0.9217,0.1268,2,0
INV00380,2026-08-11 03:04:28,10.14.8.11,140.82.121.4,80,TCP,36.58,166,22048,20,5,0.0086,0.0754,0.7922,0.2445,3,0
INV00176,2026-08-11 03:06:16,10.20.2.15,185.125.190.29,443,TCP,26.202,1622,1576,5,4,0.1416,0.1959,0.6891,0.3752,3,0
INV00100,2026-08-11 03:07:35,10.14.8.11,140.82.121.4,443,TCP,41.038,457,6085,4,6,0.0173,0.0465,0.6979,0.2636,3,0
INV00161,2026-08-11 03:16:17,10.14.8.11,142.250.74.14,445,TCP,15.227,30766,472,30,4,0.0965,0.0344,0.734,0.2812,3,0
INV00342,2026-08-11 03:22:24,10.20.2.15,142.250.74.14,443,TCP,15.151,698,143,2,5,0.1219,0.0307,0.6169,0.452,3,0
INV00042,2026-08-11 03:28:57,10.14.5.4,13.107.6.156,443,TCP,42.493,96,3545,5,7,0.2985,0.042,0.7543,0.3154,3,0
INV00260,2026-08-11 04:12:38,10.14.5.4,104.16.132.229,53,UDP,29.992,203,25392,43,6,0.0463,0.1835,0.5261,0.4299,4,0
INV00151,2026-08-11 04:18:30,10.14.5.4,13.107.6.156,445,TCP,15.561,1964,31840,30,3,0.0839,0.1236,0.8092,0.222,4,0
INV00343,2026-08-11 04:20:15,10.20.9.10,20.112.52.29,443,TCP,16.57,187,662,2,9,0.1446,0.0069,0.713,0.2922,4,0
INV00409,2026-08-11 04:23:45,10.20.9.10,20.112.52.29,1433,TCP,35.502,7960,1509,6,6,0.04,0.0668,0.6834,0.3879,4,0
INV00102,2026-08-11 04:49:45,10.14.7.23,13.107.6.156,445,TCP,6.667,958,2768,3,1,0.056,0.0332,0.8207,0.1768,4,0
INV00138,2026-08-11 04:53:30,10.14.7.23,44.236.72.93,80,TCP,14.51,11717,2657,10,7,0.028,0.0599,0.9157,0.1132,4,0
INV00080,2026-08-11 05:14:58,10.14.9.18,104.16.132.229,25,TCP,1.459,13046,7586,21,2,0.2152,0.0746,0.8529,0.1885,5,0
INV00373,2026-08-11 05:49:07,10.14.8.11,140.82.121.4,443,TCP,58.454,240,15354,18,13,0.0315,0.0884,0.6638,0.2789,5,0
INV00332,2026-08-11 05:49:57,10.14.8.11,142.250.74.14,53,UDP,75.945,20001,846,15,14,0.0733,0.024,0.316,0.6767,5,0
INV00214,2026-08-11 06:23:13,10.20.2.15,13.107.6.156,22,TCP,9.228,974,2949,4,18,0.1729,0.0792,0.931,0.0811,6,0
INV00144,2026-08-11 06:34:55,10.14.8.11,185.125.190.29,22,TCP,120.079,3236,14595,32,3,0.0296,0.0664,0.803,0.2167,6,0
INV00058,2026-08-11 06:51:10,10.20.2.15,142.250.74.14,443,TCP,5.602,39944,24593,67,9,0.0578,0.0154,0.5321,0.4385,6,0
INV00164,2026-08-11 07:52:29,10.14.7.23,140.82.121.4,22,TCP,14.074,2718,25477,41,1,0.1523,0.1012,0.7457,0.2615,7,0
INV00001,2026-08-11 07:56:21,10.14.9.18,20.112.52.29,3389,TCP,9.405,874,13847,10,1,0.0319,0.0514,0.6628,0.406,7,0
INV00362,2026-08-11 08:24:08,10.20.2.15,13.107.6.156,443,TCP,43.987,11340,3987,13,11,0.077,0.1734,0.5854,0.4525,8,0
INV00401,2026-08-11 09:03:22,10.14.5.4,20.112.52.29,3389,TCP,9.119,2760,17232,20,5,0.1466,0.0408,0.3837,0.5601,9,0
INV00230,2026-08-11 09:06:49,10.14.9.18,185.125.190.29,3389,TCP,4.946,3407,5186,6,3,0.1298,0.0317,0.8259,0.1697,9,0
INV00425,2026-08-11 09:44:16,10.14.5.4,44.236.72.93,80,TCP,54.25,1751,1485,2,6,0.0319,0.0493,0.8226,0.1453,9,0
INV00190,2026-08-11 09:51:23,10.14.7.23,13.107.6.156,443,TCP,11.785,476,4245,3,6,0.2568,0.1226,0.7004,0.2803,9,0
INV00173,2026-08-11 10:02:37,10.14.5.4,140.82.121.4,80,TCP,11.346,414,1936,2,9,0.165,0.1608,0.8495,0.078,10,0
INV00276,2026-08-11 10:22:31,10.14.8.11,104.16.132.229,445,TCP,46.559,21827,1046,22,1,0.0435,0.1319,0.7689,0.2152,10,0
INV00218,2026-08-11 10:35:05,10.20.9.10,185.125.190.29,443,TCP,20.165,418,1596,2,8,0.0682,0.0434,0.604,0.3246,10,0
INV00399,2026-08-11 11:12:50,10.14.5.4,142.250.74.14,443,TCP,9.239,24458,10276,44,1,0.0465,0.0604,0.6194,0.4592,11,0
INV00364,2026-08-11 11:15:19,10.20.2.15,142.250.74.14,443,TCP,6.097,2520,31940,27,1,0.1199,0.1124,0.4938,0.4794,11,0
INV00268,2026-08-11 11:23:58,10.14.7.23,20.112.52.29,443,TCP,58.39,19563,49875,62,13,0.0256,0.0275,0.6399,0.3735,11,0
INV00114,2026-08-11 11:36:22,10.20.9.10,185.125.190.29,80,TCP,37.401,2933,15009,12,2,0.1044,0.0154,0.8159,0.2555,11,0
INV00318,2026-08-11 11:43:50,10.14.8.11,20.112.52.29,443,TCP,53.7,884,89,2,2,0.1037,0.1866,0.7678,0.175,11,0
INV00263,2026-08-11 12:15:03,10.14.5.4,44.236.72.93,445,TCP,33.995,8951,7937,25,4,0.0528,0.0472,0.8209,0.2026,12,0
INV00412,2026-08-11 12:29:24,10.14.7.23,20.112.52.29,443,TCP,63.398,7614,2782,7,1,0.0805,0.0591,0.4048,0.6278,12,0
INV00398,2026-08-11 12:42:12,10.14.5.4,104.16.132.229,25,TCP,5.143,1181,22318,45,5,0.0148,0.1064,0.7802,0.2398,12,0
INV00313,2026-08-11 12:44:37,10.14.7.23,140.82.121.4,3389,TCP,45.225,1118,14225,22,1,0.0505,0.0674,0.4754,0.4764,12,0
INV00003,2026-08-11 12:56:09,10.14.7.23,104.16.132.229,3389,TCP,25.114,9832,30741,28,5,0.001,0.1177,0.8192,0.1306,12,0
INV00158,2026-08-11 13:57:36,10.20.2.15,142.250.74.14,443,TCP,4.15,1427,3491,3,3,0.0592,0.0952,0.717,0.3211,13,0
INV00285,2026-08-11 15:10:32,10.14.9.18,20.112.52.29,25,TCP,24.139,11301,7809,25,4,0.0164,0.0039,0.6842,0.3434,15,0
INV00177,2026-08-11 15:26:10,10.14.5.4,44.236.72.93,3389,TCP,126.53,5870,604,4,1,0.0884,0.0802,0.6084,0.4335,15,0
INV00025,2026-08-11 15:28:16,10.20.9.10,13.107.6.156,443,TCP,8.536,736,4091,9,11,0.0698,0.0048,0.6147,0.4218,15,0
INV00340,2026-08-11 16:22:27,10.14.9.18,185.125.190.29,1433,TCP,15.334,13799,49352,57,3,0.0706,0.0012,0.6963,0.2378,16,0
INV00337,2026-08-11 16:46:34,10.14.8.11,140.82.121.4,80,TCP,53.086,888,714,2,4,0.4492,0.1265,0.7543,0.306,16,0
INV00237,2026-08-11 17:11:19,10.14.7.23,44.236.72.93,3389,TCP,29.83,1136,4480,5,1,0.0627,0.0353,0.5555,0.4404,17,0
INV00407,2026-08-11 17:36:36,10.14.7.23,104.16.132.229,3389,TCP,39.209,1010,587,2,7,0.2074,0.0189,0.6054,0.3333,17,0
INV00149,2026-08-11 18:34:11,10.14.5.4,142.250.74.14,80,TCP,19.621,369,4263,4,1,0.2242,0.0429,0.8552,0.0931,18,0
INV00014,2026-08-11 19:20:15,10.14.7.23,140.82.121.4,443,TCP,13.517,1831,1916,3,7,0.1297,0.0282,0.8175,0.1966,19,0
INV00279,2026-08-11 19:22:04,10.20.2.15,140.82.121.4,443,TCP,0.92,425,387,2,1,0.028,0.0529,0.9172,0.1009,19,0
INV00009,2026-08-11 19:47:28,10.20.2.15,140.82.121.4,443,TCP,66.026,14142,1608,25,4,0.1039,0.0607,0.508,0.4364,19,0
INV00168,2026-08-11 20:08:29,10.14.5.4,104.16.132.229,1433,TCP,40.538,54,4258,4,9,0.2886,0.0521,0.6657,0.3623,20,0
INV00290,2026-08-11 20:10:09,10.14.7.23,185.125.190.29,443,TCP,13.809,236,44358,48,10,0.0667,0.0102,0.4,0.6324,20,0
INV00336,2026-08-11 21:18:38,10.20.2.15,13.107.6.156,22,TCP,18.023,2120,387,2,3,0.1782,0.1272,0.9205,0.081,21,0
INV00048,2026-08-11 21:26:15,10.20.9.10,13.107.6.156,25,TCP,5.979,4109,531,6,1,0.0702,0.1091,0.696,0.2935,21,0
INV00169,2026-08-11 21:49:37,10.20.2.15,13.107.6.156,443,TCP,8.47,1308,5621,6,7,0.0323,0.1372,0.8589,0.1927,21,0
INV00134,2026-08-11 21:55:06,10.20.9.10,44.236.72.93,443,TCP,4.233,1173,395,2,6,0.1943,0.1429,0.934,0.0006,21,0
INV00054,2026-08-11 22:38:33,10.20.2.15,142.250.74.14,443,TCP,49.222,8203,12696,36,1,0.0998,0.2732,0.9891,0.006,22,0
INV00328,2026-08-11 22:44:19,10.14.7.23,104.16.132.229,443,TCP,42.63,383,3173,3,2,0.1865,0.0389,0.7831,0.2305,22,0
INV00365,2026-08-11 23:22:05,10.20.9.10,44.236.72.93,80,TCP,20.637,1483,11095,11,3,0.0367,0.058,0.7607,0.2661,23,0
INV00107,2026-08-11 23:33:04,10.20.9.10,142.250.74.14,443,TCP,17.427,16787,897,13,3,0.0886,0.0177,0.8031,0.2243,23,0
INV00113,2026-08-12 01:14:54,10.14.5.4,185.125.190.29,445,TCP,29.336,9255,627,11,8,0.0847,0.0523,0.8761,0.1134,1,0
INV00036,2026-08-12 01:32:14,10.20.2.15,13.107.6.156,443,TCP,8.632,557,6750,13,2,0.1783,0.043,0.694,0.3502,1,0
INV00235,2026-08-12 01:38:19,10.14.9.18,20.112.52.29,53,UDP,88.599,5092,5008,7,10,0.1487,0.1454,0.6209,0.367,1,0
INV00189,2026-08-12 02:34:41,10.20.2.15,104.16.132.229,443,TCP,20.872,1111,2571,3,1,0.1044,0.0175,0.4111,0.6288,2,0
INV00426,2026-08-12 02:42:09,10.14.5.4,13.107.6.156,80,TCP,6.247,95,22417,18,10,0.1821,0.1611,0.9097,0.0112,2,0
INV00377,2026-08-12 03:20:06,10.14.8.11,13.107.6.156,443,TCP,2.758,2853,4536,10,9,0.0909,0.1193,0.7328,0.3207,3,0
INV00229,2026-08-12 04:01:23,10.20.9.10,13.107.6.156,443,TCP,11.806,1829,2266,3,6,0.0334,0.0866,0.8111,0.2342,4,0
INV00133,2026-08-12 04:24:21,10.20.2.15,20.112.52.29,443,TCP,4.138,1746,1695,2,5,0.3462,0.0377,0.443,0.5891,4,0
INV00302,2026-08-12 05:42:21,10.14.7.23,185.125.190.29,53,UDP,14.223,1552,1418,2,3,0.1132,0.0495,0.6602,0.4116,5,0
INV00221,2026-08-12 06:09:40,10.14.7.23,44.236.72.93,25,TCP,1.959,2562,16304,13,1,0.1541,0.1091,0.833,0.1032,6,0
INV00411,2026-08-12 06:25:33,10.14.9.18,142.250.74.14,80,TCP,4.741,8710,2486,14,1,0.1835,0.1753,0.819,0.2028,6,0
INV00294,2026-08-12 06:41:15,10.14.7.23,13.107.6.156,80,TCP,2.621,6619,86027,171,8,0.1042,0.1911,0.5518,0.4814,6,0
INV00160,2026-08-12 07:04:18,10.14.7.23,142.250.74.14,80,TCP,10.021,9479,25411,36,4,0.0165,0.0754,0.7729,0.2161,7,0
INV00267,2026-08-12 07:37:05,10.20.9.10,185.125.190.29,1433,TCP,18.345,4295,138,2,12,0.0878,0.0389,0.7364,0.2,7,0
INV00051,2026-08-12 07:49:04,10.20.2.15,44.236.72.93,53,UDP,57.242,7101,895,7,2,0.017,0.1267,0.8513,0.1009,7,0
INV00226,2026-08-12 08:34:45,10.20.2.15,44.236.72.93,1433,TCP,10.673,8335,1779,16,11,0.0401,0.1332,0.4263,0.6322,8,0
INV00053,2026-08-12 08:37:58,10.14.9.18,142.250.74.14,22,TCP,7.614,1404,33872,24,2,0.041,0.0995,0.8374,0.1996,8,0
INV00210,2026-08-12 08:40:20,10.20.9.10,185.125.190.29,443,TCP,34.336,59992,1974,45,1,0.0188,0.0731,0.746,0.2469,8,0
INV00032,2026-08-12 09:05:29,10.14.8.11,13.107.6.156,3389,TCP,9.289,3421,72245,134,3,0.1642,0.1482,0.8057,0.1628,9,0
INV00180,2026-08-12 09:15:00,10.20.2.15,44.236.72.93,445,TCP,12.978,3313,643,5,1,0.0998,0.1587,0.5086,0.4668,9,0
INV00404,2026-08-12 09:18:20,10.14.9.18,185.125.190.29,1433,TCP,43.939,2971,61274,43,4,0.1033,0.1196,0.8292,0.107,9,0
INV00063,2026-08-12 09:49:52,10.20.9.10,104.16.132.229,3389,TCP,7.522,68619,3926,79,7,0.2171,0.0781,0.7325,0.3411,9,0
INV00038,2026-08-12 10:45:12,10.14.7.23,140.82.121.4,80,TCP,23.899,685,107313,130,2,0.0206,0.005,0.8665,0.069,10,0
INV00424,2026-08-12 11:12:50,10.14.7.23,104.16.132.229,443,TCP,8.009,1047,28636,24,2,0.142,0.1057,0.665,0.3589,11,0
INV00264,2026-08-12 11:27:32,10.14.5.4,142.250.74.14,443,TCP,11.758,2303,4809,4,7,0.0246,0.0771,0.924,0.0445,11,0
INV00163,2026-08-12 12:07:47,10.14.9.18,104.16.132.229,443,TCP,20.728,4514,6807,12,10,0.0527,0.0797,0.6648,0.2669,12,0
INV00015,2026-08-12 12:26:41,10.20.2.15,20.112.52.29,80,TCP,29.465,804,17679,15,10,0.0439,0.0807,0.6575,0.3374,12,0
INV00143,2026-08-12 12:48:46,10.14.8.11,20.112.52.29,53,UDP,2.064,5453,851,8,7,0.0268,0.0058,0.854,0.1292,12,0
INV00386,2026-08-12 13:26:46,10.14.7.23,140.82.121.4,443,TCP,3.558,3975,1895,3,12,0.0833,0.102,0.8121,0.1209,13,0
INV00073,2026-08-12 13:42:40,10.14.9.18,44.236.72.93,443,TCP,4.261,7933,41993,31,1,0.1149,0.1067,0.6293,0.4445,13,0
INV00254,2026-08-12 14:06:03,10.20.9.10,13.107.6.156,22,TCP,85.55,1308,2002,3,7,0.0062,0.0299,0.9073,0.0926,14,0
INV00091,2026-08-12 14:07:15,10.14.9.18,20.112.52.29,22,TCP,21.284,6002,1071,4,7,0.0967,0.1457,0.8436,0.078,14,0
INV00185,2026-08-12 15:15:17,10.14.7.23,142.250.74.14,53,UDP,121.84,9325,26898,31,1,0.0302,0.1007,0.9693,0,15,0
INV00357,2026-08-12 15:42:13,10.14.5.4,142.250.74.14,80,TCP,8.948,189,82840,114,5,0.1553,0.0173,0.5825,0.3771,15,0
INV00259,2026-08-12 15:55:12,10.14.9.18,104.16.132.229,3389,TCP,14.082,1688,1262,2,15,0.001,0.2574,0.6028,0.414,15,0
INV00298,2026-08-12 17:36:08,10.14.5.4,13.107.6.156,443,TCP,11.722,3393,12362,16,2,0.0187,0.0388,0.827,0.2093,17,0
INV00245,2026-08-12 18:21:09,10.14.5.4,13.107.6.156,445,TCP,9.802,20300,5884,17,7,0.2193,0.0486,0.9116,0.0434,18,0
INV00271,2026-08-12 18:39:44,10.20.9.10,20.112.52.29,3389,TCP,5.113,747,5353,4,5,0.047,0.1656,0.3531,0.6193,18,0
INV00228,2026-08-12 19:07:22,10.14.8.11,20.112.52.29,445,TCP,40.896,435,9103,8,8,0.0036,0.0421,0.8297,0.1435,19,0
INV00120,2026-08-12 19:33:52,10.14.7.23,44.236.72.93,445,TCP,27.414,9874,2104,23,6,0.0231,0.0725,0.5902,0.454,19,0
INV00277,2026-08-12 20:17:49,10.14.7.23,13.107.6.156,80,TCP,7.96,133,12036,11,7,0.185,0.1757,0.7204,0.2997,20,0
INV00150,2026-08-12 20:39:47,10.14.5.4,44.236.72.93,22,TCP,49.236,1450,3085,3,8,0.0984,0.0463,0.8552,0.1268,20,0
INV00408,2026-08-12 20:48:34,10.20.9.10,20.112.52.29,443,TCP,14.08,917,3828,3,4,0.2503,0.0597,0.8267,0.1843,20,0
INV00356,2026-08-12 21:10:44,10.20.9.10,13.107.6.156,1433,TCP,284.282,1031,13599,23,6,0.0125,0.0569,0.7483,0.2263,21,0
INV00136,2026-08-12 21:37:20,10.14.5.4,140.82.121.4,1433,TCP,52.641,652,8754,8,1,0.0281,0.04,0.5439,0.4752,21,0
