event_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,action,bytes_out,bytes_in,duration_sec,rule_name,country
F00096,2026-08-10 11:54:44,10.14.5.4,61288,10.20.1.10,1433,TCP,ALLOW,87939,94989,88.3,INTERNAL-BUSINESS,NA
F00097,2026-08-10 11:57:28,10.14.5.4,55675,10.20.8.20,445,TCP,ALLOW,35610,292389,58.27,INTERNAL-BUSINESS,NA
F00098,2026-08-10 12:05:22,10.14.5.4,58875,44.236.72.93,123,UDP,ALLOW,5423,2792,59.11,NTP-OUT,US
F00099,2026-08-10 12:09:58,10.14.5.4,64481,20.112.52.29,443,TCP,ALLOW,4501,23881,39.47,OUTBOUND-WEB,US
F00100,2026-08-10 12:14:31,10.20.9.10,55160,20.112.52.29,123,UDP,ALLOW,1575,5428,88.4,NTP-OUT,US
F00101,2026-08-10 12:17:18,10.14.7.23,58018,142.250.74.14,443,TCP,ALLOW,3849,1701,122.46,OUTBOUND-WEB,US
F00102,2026-08-10 12:21:22,10.14.7.23,59433,140.82.121.4,123,UDP,ALLOW,4046,8079,167.0,NTP-OUT,US
F00103,2026-08-10 12:22:18,10.14.5.4,59007,44.236.72.93,53,UDP,ALLOW,6546,6258,152.39,DNS-OUT,US
F00104,2026-08-10 12:35:51,10.14.7.23,51768,10.20.9.10,3389,TCP,ALLOW,58153,108242,56.13,INTERNAL-BUSINESS,NA
F00105,2026-08-10 12:36:39,10.14.8.11,49842,140.82.121.4,53,UDP,ALLOW,1285,31433,47.98,DNS-OUT,US
F00106,2026-08-10 12:39:01,10.14.9.18,64863,44.236.72.93,80,TCP,ALLOW,5528,12992,67.65,OUTBOUND-WEB,US
F00107,2026-08-10 12:57:50,10.14.7.23,61123,142.250.74.14,443,TCP,ALLOW,5366,44120,123.15,OUTBOUND-WEB,US
F00108,2026-08-10 13:06:52,10.14.7.23,51544,185.125.190.29,123,UDP,ALLOW,8482,1724,119.49,NTP-OUT,GB
F00109,2026-08-10 13:12:54,10.20.2.15,57065,20.112.52.29,80,TCP,ALLOW,2473,744,72.25,OUTBOUND-WEB,US
F00110,2026-08-10 13:18:11,10.14.5.4,53448,185.125.190.29,443,TCP,ALLOW,5020,29739,120.9,OUTBOUND-WEB,GB
F00111,2026-08-10 13:32:06,10.20.9.10,49304,20.112.52.29,53,UDP,ALLOW,5581,9795,48.11,DNS-OUT,US
F00112,2026-08-10 13:41:07,10.14.9.18,62474,13.107.6.156,123,UDP,ALLOW,8163,5909,4.72,NTP-OUT,US
F00113,2026-08-10 13:41:22,10.14.8.11,52168,185.125.190.29,443,TCP,ALLOW,1117,85898,74.34,OUTBOUND-WEB,GB
F00114,2026-08-10 13:41:30,10.20.9.10,62834,185.125.190.29,123,UDP,ALLOW,2601,5019,143.08,NTP-OUT,GB
F00115,2026-08-10 13:46:01,10.20.9.10,57929,44.236.72.93,123,UDP,ALLOW,2597,3857,21.25,NTP-OUT,US
F00116,2026-08-10 13:56:40,10.14.9.18,55986,185.125.190.29,443,TCP,ALLOW,18285,2515,162.72,OUTBOUND-WEB,GB
F00117,2026-08-10 14:07:30,10.20.2.15,63304,104.16.132.229,53,UDP,ALLOW,4675,2755,39.5,DNS-OUT,US
F00118,2026-08-10 14:08:48,10.14.7.23,54782,104.16.132.229,123,UDP,ALLOW,6506,4073,81.59,NTP-OUT,US
F00119,2026-08-10 14:10:27,10.20.2.15,56126,20.112.52.29,443,TCP,ALLOW,8195,31440,36.27,OUTBOUND-WEB,US
F00120,2026-08-10 14:11:20,10.14.8.11,59702,185.125.190.29,123,UDP,ALLOW,207,20536,89.81,NTP-OUT,GB
F00121,2026-08-10 14:14:34,10.14.5.4,58032,104.16.132.229,443,TCP,ALLOW,4087,135714,147.61,OUTBOUND-WEB,US
F00122,2026-08-10 14:17:23,10.14.7.23,57028,10.20.5.12,445,TCP,ALLOW,44165,103630,169.23,INTERNAL-BUSINESS,NA
F00123,2026-08-10 14:23:03,10.14.8.11,54965,104.16.132.229,123,UDP,ALLOW,3008,12930,67.23,NTP-OUT,US
F00124,2026-08-10 14:24:20,10.14.7.23,53816,10.20.8.20,445,TCP,ALLOW,82762,196328,46.31,INTERNAL-BUSINESS,NA
F00125,2026-08-10 14:27:44,10.14.9.18,62177,142.250.74.14,443,TCP,ALLOW,9655,5313,172.19,OUTBOUND-WEB,US
F00126,2026-08-10 14:28:17,10.20.9.10,64575,44.236.72.93,123,UDP,ALLOW,2109,12548,146.25,NTP-OUT,US
F00127,2026-08-10 14:44:24,10.14.8.11,60271,10.20.1.10,3389,TCP,ALLOW,107677,90863,290.07,INTERNAL-BUSINESS,NA
F00128,2026-08-10 14:45:37,10.20.2.15,60781,104.16.132.229,80,TCP,ALLOW,3193,4252,84.75,OUTBOUND-WEB,US
F00129,2026-08-10 14:50:21,10.14.9.18,58973,142.250.74.14,123,UDP,ALLOW,2308,13392,10.71,NTP-OUT,US
F00130,2026-08-10 14:53:50,10.14.9.18,64269,104.16.132.229,53,UDP,ALLOW,4946,8786,5.92,DNS-OUT,US
F00131,2026-08-10 15:00:50,10.14.9.18,61275,10.20.1.10,3389,TCP,ALLOW,62356,34425,18.57,INTERNAL-BUSINESS,NA
F00132,2026-08-10 15:27:47,10.20.2.15,55610,44.236.72.93,80,TCP,ALLOW,4345,4926,47.69,OUTBOUND-WEB,US
F00133,2026-08-10 15:43:22,10.14.8.11,61350,10.20.8.20,445,TCP,ALLOW,111756,87372,71.23,INTERNAL-BUSINESS,NA
F00134,2026-08-10 15:45:25,10.14.8.11,59806,185.125.190.29,443,TCP,ALLOW,12080,2179,61.49,OUTBOUND-WEB,GB
F00135,2026-08-10 15:56:20,10.14.7.23,62075,104.16.132.229,80,TCP,ALLOW,350,10739,90.22,OUTBOUND-WEB,US
F00136,2026-08-10 16:07:50,10.14.7.23,54855,13.107.6.156,123,UDP,ALLOW,2692,74610,101.54,NTP-OUT,US
F00137,2026-08-10 16:08:51,10.20.2.15,51573,185.125.190.29,80,TCP,ALLOW,72588,54623,91.03,OUTBOUND-WEB,GB
F00138,2026-08-10 16:32:55,10.14.9.18,56608,13.107.6.156,123,UDP,ALLOW,1376,10298,127.06,NTP-OUT,US
F00139,2026-08-10 16:48:32,10.20.2.15,55476,20.112.52.29,443,TCP,ALLOW,1861,49807,54.76,OUTBOUND-WEB,US
F00140,2026-08-10 16:51:10,10.14.5.4,60049,185.125.190.29,443,TCP,ALLOW,4789,9183,74.39,OUTBOUND-WEB,GB
F00141,2026-08-10 17:02:15,10.14.8.11,54834,13.107.6.156,443,TCP,ALLOW,7007,116964,46.33,OUTBOUND-WEB,US
F00142,2026-08-10 17:03:32,10.14.9.18,64309,104.16.132.229,53,UDP,ALLOW,7489,7335,26.3,DNS-OUT,US
F00143,2026-08-10 17:14:36,10.20.2.15,64112,104.16.132.229,443,TCP,ALLOW,2231,4561,98.81,OUTBOUND-WEB,US
F00144,2026-08-10 17:33:46,10.14.5.4,59220,10.20.9.10,3389,TCP,ALLOW,7787,19109,292.78,INTERNAL-BUSINESS,NA
F00145,2026-08-10 17:42:20,10.14.7.23,53469,104.16.132.229,80,TCP,ALLOW,4334,9392,75.92,OUTBOUND-WEB,US
F00146,2026-08-10 17:46:03,10.14.9.18,64324,44.236.72.93,443,TCP,ALLOW,2268,1465,167.33,OUTBOUND-WEB,US
F00147,2026-08-10 17:48:36,10.14.7.23,62349,140.82.121.4,53,UDP,ALLOW,3434,7847,55.19,DNS-OUT,US
F00148,2026-08-10 17:57:50,10.20.9.10,60852,13.107.6.156,53,UDP,ALLOW,7103,32853,55.88,DNS-OUT,US
F00149,2026-08-10 17:58:52,10.14.9.18,50563,104.16.132.229,80,TCP,ALLOW,5870,8526,20.47,OUTBOUND-WEB,US
F00150,2026-08-10 18:03:08,10.14.5.4,53980,10.20.5.12,443,TCP,ALLOW,98086,228551,251.8,INTERNAL-BUSINESS,NA
F00151,2026-08-10 18:04:04,10.20.2.15,63758,20.112.52.29,443,TCP,ALLOW,810,1533,86.42,OUTBOUND-WEB,US
F00152,2026-08-10 18:04:25,10.14.8.11,49299,20.112.52.29,53,UDP,ALLOW,5782,3635,71.22,DNS-OUT,US
F00153,2026-08-10 18:05:20,10.14.9.18,53728,20.112.52.29,443,TCP,ALLOW,2779,22244,95.68,OUTBOUND-WEB,US
F00154,2026-08-10 18:09:05,10.14.5.4,51686,13.107.6.156,443,TCP,ALLOW,2183,22288,39.66,OUTBOUND-WEB,US
F00155,2026-08-10 18:18:13,10.14.9.18,53179,44.236.72.93,443,TCP,ALLOW,7665,24767,176.18,OUTBOUND-WEB,US
F00156,2026-08-10 18:26:29,10.14.8.11,52451,20.112.52.29,123,UDP,ALLOW,1785,33212,142.92,NTP-OUT,US
F00157,2026-08-10 18:31:24,10.14.7.23,58964,142.250.74.14,80,TCP,ALLOW,4066,4353,99.84,OUTBOUND-WEB,US
F00158,2026-08-10 18:32:56,10.20.2.15,65111,104.16.132.229,53,UDP,ALLOW,387,11633,129.68,DNS-OUT,US
F00159,2026-08-10 19:21:14,10.14.8.11,53717,104.16.132.229,80,TCP,ALLOW,12631,5564,141.72,OUTBOUND-WEB,US
F00160,2026-08-10 19:22:32,10.14.5.4,56180,10.20.8.20,1433,TCP,ALLOW,63377,232587,58.19,INTERNAL-BUSINESS,NA
F00161,2026-08-10 19:32:10,10.14.5.4,59389,10.20.8.20,445,TCP,ALLOW,38487,74719,246.41,INTERNAL-BUSINESS,NA
F00162,2026-08-10 19:33:39,10.14.7.23,58645,10.20.5.12,445,TCP,ALLOW,11175,339200,271.23,INTERNAL-BUSINESS,NA
F00163,2026-08-10 19:36:36,10.14.9.18,51481,140.82.121.4,80,TCP,ALLOW,12142,20032,145.79,OUTBOUND-WEB,US
F00164,2026-08-10 19:39:23,10.14.8.11,49300,142.250.74.14,123,UDP,ALLOW,3785,1524,43.73,NTP-OUT,US
F00165,2026-08-10 19:42:13,10.14.8.11,52298,10.20.1.10,1433,TCP,ALLOW,54572,318754,295.08,INTERNAL-BUSINESS,NA
F00166,2026-08-10 19:52:28,10.20.9.10,51223,13.107.6.156,123,UDP,ALLOW,1572,881,53.23,NTP-OUT,US
F00167,2026-08-10 19:55:36,10.14.5.4,59302,44.236.72.93,53,UDP,ALLOW,2611,4031,91.0,DNS-OUT,US
F00168,2026-08-10 20:04:35,10.20.9.10,54269,185.125.190.29,80,TCP,ALLOW,2350,26469,61.15,OUTBOUND-WEB,GB
F00169,2026-08-10 20:13:55,10.14.8.11,55135,44.236.72.93,443,TCP,ALLOW,2001,14122,166.89,OUTBOUND-WEB,US
F00170,2026-08-10 20:22:40,10.20.2.15,53158,44.236.72.93,123,UDP,ALLOW,4930,3325,71.36,NTP-OUT,US
F00171,2026-08-10 20:32:23,10.14.7.23,50569,10.20.8.20,445,TCP,ALLOW,77743,335651,280.71,INTERNAL-BUSINESS,NA
F00172,2026-08-10 20:45:26,10.20.2.15,64320,20.112.52.29,53,UDP,ALLOW,690,1431,16.67,DNS-OUT,US
F00173,2026-08-10 21:02:04,10.14.9.18,51751,140.82.121.4,443,TCP,ALLOW,2415,62266,62.0,OUTBOUND-WEB,US
F00174,2026-08-10 21:11:49,10.20.2.15,65328,44.236.72.93,123,UDP,ALLOW,2140,16606,73.03,NTP-OUT,US
F00175,2026-08-10 21:12:40,10.14.5.4,50871,185.125.190.29,443,TCP,ALLOW,6015,2999,100.83,OUTBOUND-WEB,GB
F00176,2026-08-10 21:29:06,10.14.5.4,58200,142.250.74.14,53,UDP,ALLOW,4189,16533,96.1,DNS-OUT,US
F00177,2026-08-10 21:38:19,10.20.9.10,57979,140.82.121.4,53,UDP,ALLOW,1959,869,51.28,DNS-OUT,US
F00178,2026-08-10 21:41:10,10.14.8.11,63455,10.20.5.12,1433,TCP,ALLOW,41683,25530,252.96,INTERNAL-BUSINESS,NA
F00179,2026-08-10 21:57:34,10.14.5.4,54812,20.112.52.29,443,TCP,ALLOW,1227,6585,53.11,OUTBOUND-WEB,US
F00180,2026-08-10 22:02:34,10.14.5.4,59452,10.20.1.10,443,TCP,ALLOW,112683,58196,46.5,INTERNAL-BUSINESS,NA
F00181,2026-08-10 22:02:44,10.14.8.11,49313,140.82.121.4,80,TCP,ALLOW,7280,15695,97.11,OUTBOUND-WEB,US
F00182,2026-08-10 22:07:47,10.20.9.10,60155,20.112.52.29,53,UDP,ALLOW,7843,4384,169.08,DNS-OUT,US
F00183,2026-08-10 22:12:19,10.20.2.15,61249,140.82.121.4,443,TCP,ALLOW,9873,13536,145.35,OUTBOUND-WEB,US
F00184,2026-08-10 22:20:07,10.14.8.11,64400,185.125.190.29,123,UDP,ALLOW,24108,4195,23.1,NTP-OUT,GB
F00185,2026-08-10 22:28:28,10.14.7.23,64394,10.20.9.10,443,TCP,ALLOW,115482,189923,125.65,INTERNAL-BUSINESS,NA
F00186,2026-08-10 22:44:53,10.14.5.4,49435,185.125.190.29,123,UDP,ALLOW,1410,53352,40.4,NTP-OUT,GB
F00187,2026-08-10 22:53:27,10.14.7.23,54923,140.82.121.4,443,TCP,ALLOW,3759,12026,32.88,OUTBOUND-WEB,US
F00188,2026-08-10 22:56:17,10.14.7.23,54242,104.16.132.229,443,TCP,ALLOW,773,34920,40.97,OUTBOUND-WEB,US
F00189,2026-08-10 22:57:19,10.14.5.4,49892,104.16.132.229,123,UDP,ALLOW,853,1756,178.92,NTP-OUT,US
F00190,2026-08-10 23:09:32,10.14.7.23,64504,185.125.190.29,123,UDP,ALLOW,1183,3156,76.8,NTP-OUT,GB
F00191,2026-08-10 23:25:42,10.14.5.4,50126,142.250.74.14,443,TCP,ALLOW,2253,34263,82.62,OUTBOUND-WEB,US
F00192,2026-08-10 23:28:28,10.14.8.11,57524,142.250.74.14,53,UDP,ALLOW,10496,12472,89.76,DNS-OUT,US
F00193,2026-08-10 23:36:39,10.20.2.15,58556,13.107.6.156,53,UDP,ALLOW,23217,6310,174.25,DNS-OUT,US
F00194,2026-08-10 23:37:37,10.20.2.15,52956,44.236.72.93,443,TCP,ALLOW,842,1076,73.04,OUTBOUND-WEB,US
F00195,2026-08-10 23:38:40,10.14.7.23,65260,142.250.74.14,123,UDP,ALLOW,6141,10154,97.16,NTP-OUT,US
F00196,2026-08-10 23:39:30,10.14.5.4,52356,20.112.52.29,123,UDP,ALLOW,3471,4381,0.2,NTP-OUT,US
