event_id,timestamp,client_ip,query_name,query_type,response_code,response_ip,ttl
D00049,2026-08-10 14:08:28,10.14.9.18,cloudflare.com,A,NOERROR,104.16.132.229,60
D00050,2026-08-10 14:37:31,10.20.9.10,github.com,A,NOERROR,140.82.121.4,1800
D00051,2026-08-10 14:43:22,10.14.7.23,microsoft.com,A,NOERROR,20.112.52.29,600
D00052,2026-08-10 14:48:38,10.14.5.4,cloudflare.com,A,NOERROR,104.16.132.229,600
D00053,2026-08-10 14:59:21,10.14.8.11,akamaiedge.net,A,NOERROR,23.45.67.89,600
D00054,2026-08-10 15:32:55,10.14.5.4,namibian.com.na,A,NOERROR,197.221.2.4,60
D00055,2026-08-10 15:48:33,10.14.5.4,ubuntu.com,A,NOERROR,185.125.190.29,1800
D00056,2026-08-10 15:54:06,10.14.8.11,ubuntu.com,A,NOERROR,185.125.190.29,1800
D00057,2026-08-10 16:23:17,10.14.5.4,ietf.org,A,NOERROR,104.16.44.99,300
D00058,2026-08-10 16:29:57,10.20.9.10,windowsupdate.com,A,NOERROR,13.107.4.50,300
D00059,2026-08-10 16:49:08,10.14.5.4,google.com,A,NOERROR,142.250.74.14,1800
D00060,2026-08-10 16:58:46,10.20.9.10,akamaiedge.net,A,NOERROR,23.45.67.89,600
D00061,2026-08-10 17:01:44,10.14.7.23,mozilla.org,A,NOERROR,44.236.72.93,300
D00062,2026-08-10 17:18:36,10.14.9.18,github.com,A,NOERROR,140.82.121.4,60
D00063,2026-08-10 17:45:11,10.14.9.18,nust.na,A,NOERROR,196.216.167.4,300
D00064,2026-08-10 17:49:52,10.14.9.18,office.com,A,NOERROR,13.107.6.156,1800
D00065,2026-08-10 17:54:43,10.14.7.23,google.com,A,NOERROR,142.250.74.14,300
D00066,2026-08-10 18:00:19,10.14.5.4,akamaiedge.net,A,NOERROR,23.45.67.89,600
D00067,2026-08-10 18:13:59,10.14.8.11,nust.na,A,NOERROR,196.216.167.4,1800
D00068,2026-08-10 18:15:31,10.20.9.10,mozilla.org,A,NOERROR,44.236.72.93,300
D00069,2026-08-10 18:23:44,10.14.7.23,namibian.com.na,A,NOERROR,197.221.2.4,600
D00070,2026-08-10 19:01:29,10.14.9.18,cloudflare.com,A,NOERROR,104.16.132.229,60
D00071,2026-08-10 19:21:07,10.14.5.4,mozilla.org,A,NOERROR,44.236.72.93,300
D00072,2026-08-10 20:04:01,10.14.9.18,ietf.org,A,NOERROR,104.16.44.99,1800
D00073,2026-08-10 20:29:38,10.14.8.11,akamaiedge.net,A,NOERROR,23.45.67.89,1800
D00074,2026-08-10 21:04:36,10.14.7.23,ubuntu.com,A,NOERROR,185.125.190.29,60
D00075,2026-08-10 21:09:35,10.14.5.4,cloudflare.com,A,NOERROR,104.16.132.229,1800
D00076,2026-08-10 21:17:35,10.14.9.18,github.com,A,NOERROR,140.82.121.4,1800
D00077,2026-08-10 21:28:51,10.20.9.10,github.com,A,NOERROR,140.82.121.4,600
D00078,2026-08-10 21:30:57,10.14.8.11,google.com,A,NOERROR,142.250.74.14,1800
D00079,2026-08-10 21:48:37,10.14.8.11,ietf.org,A,NOERROR,104.16.44.99,300
D00080,2026-08-10 21:51:49,10.14.7.23,mozilla.org,A,NOERROR,44.236.72.93,60
D00081,2026-08-10 22:00:45,10.14.5.4,mozilla.org,A,NOERROR,44.236.72.93,300
D00082,2026-08-10 22:10:24,10.14.7.23,ubuntu.com,A,NOERROR,185.125.190.29,300
D00083,2026-08-10 22:29:10,10.20.9.10,namibian.com.na,A,NOERROR,197.221.2.4,600
D00084,2026-08-10 22:32:48,10.20.9.10,cloudflare.com,A,NOERROR,104.16.132.229,60
D00085,2026-08-10 22:47:24,10.14.8.11,github.com,A,NOERROR,140.82.121.4,60
D00086,2026-08-10 23:06:38,10.20.9.10,windowsupdate.com,A,NOERROR,13.107.4.50,300
D00087,2026-08-10 23:11:05,10.20.9.10,ietf.org,A,NOERROR,104.16.44.99,600
D00088,2026-08-10 23:35:19,10.14.5.4,github.com,A,NOERROR,140.82.121.4,300
D00089,2026-08-10 23:49:38,10.14.9.18,windowsupdate.com,A,NOERROR,13.107.4.50,60
D00090,2026-08-11 00:41:41,10.20.9.10,mozilla.org,A,NOERROR,44.236.72.93,600
D00091,2026-08-11 00:46:00,10.14.7.23,microsoft.com,A,NOERROR,20.112.52.29,60
D00092,2026-08-11 00:59:25,10.14.9.18,ietf.org,A,NOERROR,104.16.44.99,600
D00093,2026-08-11 01:14:28,10.14.9.18,nust.na,A,NOERROR,196.216.167.4,600
D00094,2026-08-11 01:14:35,10.14.8.11,github.com,A,NOERROR,140.82.121.4,60
D00095,2026-08-11 01:24:20,10.14.7.23,ietf.org,A,NOERROR,104.16.44.99,600
D00096,2026-08-11 02:30:39,10.14.7.23,cloudflare.com,A,NOERROR,104.16.132.229,300
D00097,2026-08-11 02:55:44,10.14.5.4,ubuntu.com,A,NOERROR,185.125.190.29,600
D00098,2026-08-11 03:42:17,10.14.9.18,office.com,A,NOERROR,13.107.6.156,300
D00099,2026-08-11 03:45:02,10.14.7.23,cloudflare.com,A,NOERROR,104.16.132.229,300
D00100,2026-08-11 04:12:53,10.14.9.18,namibian.com.na,A,NOERROR,197.221.2.4,600
D00101,2026-08-11 04:15:42,10.14.7.23,mozilla.org,A,NOERROR,44.236.72.93,600
D00102,2026-08-11 04:36:15,10.14.9.18,ietf.org,A,NOERROR,104.16.44.99,1800
D00103,2026-08-11 04:41:47,10.14.8.11,github.com,A,NOERROR,140.82.121.4,300
D00104,2026-08-11 04:49:08,10.14.9.18,ietf.org,A,NOERROR,104.16.44.99,1800
D00105,2026-08-11 04:54:21,10.14.9.18,mozilla.org,A,NOERROR,44.236.72.93,600
D00106,2026-08-11 04:55:37,10.14.9.18,google.com,A,NOERROR,142.250.74.14,600
D00107,2026-08-11 05:14:31,10.14.7.23,ubuntu.com,A,NOERROR,185.125.190.29,60
D00108,2026-08-11 05:21:54,10.20.9.10,ietf.org,A,NOERROR,104.16.44.99,600
D00109,2026-08-11 05:34:01,10.14.7.23,google.com,A,NOERROR,142.250.74.14,600
D00110,2026-08-11 05:37:57,10.14.5.4,google.com,A,NOERROR,142.250.74.14,60
D00111,2026-08-11 05:52:04,10.14.9.18,ietf.org,A,NOERROR,104.16.44.99,300
D00112,2026-08-11 06:20:40,10.14.8.11,office.com,A,NOERROR,13.107.6.156,60
D00113,2026-08-11 06:41:58,10.14.9.18,office.com,A,NOERROR,13.107.6.156,1800
D00114,2026-08-11 06:59:29,10.20.9.10,google.com,A,NOERROR,142.250.74.14,300
D00115,2026-08-11 07:11:04,10.14.7.23,windowsupdate.com,A,NOERROR,13.107.4.50,300
D00116,2026-08-11 07:13:35,10.20.9.10,mozilla.org,A,NOERROR,44.236.72.93,300
D00117,2026-08-11 07:14:10,10.14.7.23,github.com,A,NOERROR,140.82.121.4,300
D00118,2026-08-11 07:16:40,10.20.9.10,office.com,A,NOERROR,13.107.6.156,600
D00119,2026-08-11 07:41:47,10.14.8.11,office.com,A,NOERROR,13.107.6.156,60
D00120,2026-08-11 07:44:10,10.20.9.10,github.com,A,NOERROR,140.82.121.4,600
D00121,2026-08-11 08:10:30,10.14.8.11,cloudflare.com,A,NOERROR,104.16.132.229,1800
D00122,2026-08-11 08:29:28,10.14.9.18,ietf.org,A,NOERROR,104.16.44.99,60
D00123,2026-08-11 08:44:04,10.14.9.18,cloudflare.com,A,NOERROR,104.16.132.229,1800
D00124,2026-08-11 08:56:56,10.14.5.4,github.com,A,NOERROR,140.82.121.4,1800
D00125,2026-08-11 08:57:48,10.14.7.23,mozilla.org,A,NOERROR,44.236.72.93,300
D00126,2026-08-11 09:04:38,10.14.7.23,ubuntu.com,A,NOERROR,185.125.190.29,600
D00127,2026-08-11 09:09:27,10.14.7.23,nust.na,A,NOERROR,196.216.167.4,60
D00128,2026-08-11 09:41:37,10.20.9.10,google.com,A,NOERROR,142.250.74.14,600
D00129,2026-08-11 10:01:14,10.14.9.18,ubuntu.com,A,NOERROR,185.125.190.29,60
D00130,2026-08-11 10:04:36,10.14.8.11,nust.na,A,NOERROR,196.216.167.4,1800
D00131,2026-08-11 10:24:58,10.14.7.23,google.com,A,NOERROR,142.250.74.14,300
D00132,2026-08-11 10:30:14,10.14.5.4,windowsupdate.com,A,NOERROR,13.107.4.50,300
D00133,2026-08-11 11:00:42,10.14.9.18,mozilla.org,A,NOERROR,44.236.72.93,60
D00134,2026-08-11 11:17:34,10.14.9.18,ietf.org,A,NOERROR,104.16.44.99,600
D00135,2026-08-11 11:25:27,10.14.8.11,mozilla.org,A,NOERROR,44.236.72.93,1800
D00136,2026-08-11 11:28:04,10.14.5.4,akamaiedge.net,A,NOERROR,23.45.67.89,300
D00137,2026-08-11 11:36:17,10.14.5.4,akamaiedge.net,A,NOERROR,23.45.67.89,300
D00138,2026-08-11 11:40:03,10.14.7.23,office.com,A,NOERROR,13.107.6.156,60
D00139,2026-08-11 12:32:09,10.20.9.10,akamaiedge.net,A,NOERROR,23.45.67.89,1800
D00140,2026-08-11 12:38:04,10.14.8.11,windowsupdate.com,A,NOERROR,13.107.4.50,300
D00141,2026-08-11 12:39:09,10.14.9.18,microsoft.com,A,NOERROR,20.112.52.29,600
D00142,2026-08-11 12:42:16,10.20.9.10,cloudflare.com,A,NOERROR,104.16.132.229,60
D00143,2026-08-11 12:53:29,10.20.9.10,nust.na,A,NOERROR,196.216.167.4,1800
D00144,2026-08-11 13:02:18,10.14.5.4,microsoft.com,A,NOERROR,20.112.52.29,300
D00145,2026-08-11 13:35:46,10.14.7.23,mozilla.org,A,NOERROR,44.236.72.93,1800
D00146,2026-08-11 13:45:50,10.14.5.4,microsoft.com,A,NOERROR,20.112.52.29,1800
D00147,2026-08-11 14:04:05,10.14.8.11,microsoft.com,A,NOERROR,20.112.52.29,600
D00148,2026-08-11 14:12:30,10.20.9.10,google.com,A,NOERROR,142.250.74.14,600
D00149,2026-08-11 14:14:01,10.14.8.11,ubuntu.com,A,NOERROR,185.125.190.29,1800
D00150,2026-08-11 14:27:37,10.14.5.4,google.com,A,NOERROR,142.250.74.14,60
D00151,2026-08-11 15:07:27,10.14.9.18,ubuntu.com,A,NOERROR,185.125.190.29,300
D00152,2026-08-11 15:24:45,10.20.9.10,google.com,A,NOERROR,142.250.74.14,1800
D00153,2026-08-11 15:42:45,10.14.8.11,akamaiedge.net,A,NOERROR,23.45.67.89,1800
D00154,2026-08-11 16:03:05,10.20.9.10,nust.na,A,NOERROR,196.216.167.4,300
D00155,2026-08-11 16:16:12,10.14.5.4,microsoft.com,A,NOERROR,20.112.52.29,600
D00156,2026-08-11 16:33:37,10.14.9.18,ubuntu.com,A,NOERROR,185.125.190.29,300
D00157,2026-08-11 17:03:39,10.14.8.11,windowsupdate.com,A,NOERROR,13.107.4.50,300
D00158,2026-08-11 17:13:21,10.14.9.18,google.com,A,NOERROR,142.250.74.14,600
D00159,2026-08-11 17:38:22,10.20.9.10,windowsupdate.com,A,NOERROR,13.107.4.50,300
D00160,2026-08-11 17:49:17,10.14.9.18,microsoft.com,A,NOERROR,20.112.52.29,300
D00161,2026-08-11 18:03:31,10.14.8.11,office.com,A,NOERROR,13.107.6.156,300
D00162,2026-08-11 18:04:24,10.14.5.4,namibian.com.na,A,NOERROR,197.221.2.4,1800
D00163,2026-08-11 18:09:49,10.14.9.18,microsoft.com,A,NOERROR,20.112.52.29,60
D00164,2026-08-11 18:22:25,10.14.9.18,google.com,A,NOERROR,142.250.74.14,1800
D00165,2026-08-11 18:45:20,10.14.8.11,nust.na,A,NOERROR,196.216.167.4,300
D00166,2026-08-11 19:26:46,10.14.5.4,google.com,A,NOERROR,142.250.74.14,600
D00167,2026-08-11 19:49:35,10.14.5.4,namibian.com.na,A,NOERROR,197.221.2.4,300
D00168,2026-08-11 20:05:26,10.14.8.11,nust.na,A,NOERROR,196.216.167.4,60
D00169,2026-08-11 20:12:47,10.20.9.10,nust.na,A,NOERROR,196.216.167.4,60
D00170,2026-08-11 20:53:58,10.14.7.23,mozilla.org,A,NOERROR,44.236.72.93,300
D00171,2026-08-11 20:58:15,10.20.9.10,ietf.org,A,NOERROR,104.16.44.99,300
D00172,2026-08-11 21:16:29,10.14.8.11,namibian.com.na,A,NOERROR,197.221.2.4,600
D00173,2026-08-11 21:26:06,10.14.5.4,nust.na,A,NOERROR,196.216.167.4,60
D00174,2026-08-11 21:28:57,10.14.7.23,office.com,A,NOERROR,13.107.6.156,60
D00175,2026-08-11 22:11:56,10.14.9.18,windowsupdate.com,A,NOERROR,13.107.4.50,60
D00176,2026-08-11 22:12:46,10.14.8.11,ubuntu.com,A,NOERROR,185.125.190.29,60
D00177,2026-08-11 22:17:23,10.14.7.23,cloudflare.com,A,NOERROR,104.16.132.229,300
D00178,2026-08-11 22:17:41,10.14.5.4,google.com,A,NOERROR,142.250.74.14,60
D00179,2026-08-11 22:34:13,10.14.7.23,microsoft.com,A,NOERROR,20.112.52.29,300
D00180,2026-08-11 22:40:03,10.20.9.10,office.com,A,NOERROR,13.107.6.156,60
D00181,2026-08-11 23:28:53,10.14.9.18,nust.na,A,NOERROR,196.216.167.4,60
D00182,2026-08-11 23:31:44,10.14.5.4,nust.na,A,NOERROR,196.216.167.4,600
D00183,2026-08-11 23:38:14,10.14.7.23,mozilla.org,A,NOERROR,44.236.72.93,1800
D00184,2026-08-11 23:42:54,10.14.7.23,akamaiedge.net,A,NOERROR,23.45.67.89,1800
D00185,2026-08-11 23:47:50,10.14.8.11,nust.na,A,NOERROR,196.216.167.4,300
D00186,2026-08-12 00:28:22,10.14.5.4,akamaiedge.net,A,NOERROR,23.45.67.89,60
D00187,2026-08-12 01:08:00,10.14.5.4,google.com,A,NOERROR,142.250.74.14,60
D00188,2026-08-12 01:18:29,10.14.7.23,cloudflare.com,A,NOERROR,104.16.132.229,60
D00189,2026-08-12 01:21:42,10.14.5.4,microsoft.com,A,NOERROR,20.112.52.29,1800
D00190,2026-08-12 01:30:39,10.14.7.23,microsoft.com,A,NOERROR,20.112.52.29,60
D00191,2026-08-12 01:31:10,10.14.5.4,github.com,A,NOERROR,140.82.121.4,60
D00192,2026-08-12 01:49:46,10.14.8.11,windowsupdate.com,A,NOERROR,13.107.4.50,300
D00193,2026-08-12 02:31:29,10.14.7.23,google.com,A,NOERROR,142.250.74.14,1800
D00194,2026-08-12 02:33:08,10.14.7.23,office.com,A,NOERROR,13.107.6.156,600
D00195,2026-08-12 03:07:47,10.14.9.18,akamaiedge.net,A,NOERROR,23.45.67.89,600
D00196,2026-08-12 03:12:49,10.14.8.11,mozilla.org,A,NOERROR,44.236.72.93,300
D00197,2026-08-12 03:45:06,10.14.5.4,cloudflare.com,A,NOERROR,104.16.132.229,60
D00198,2026-08-12 03:45:53,10.14.8.11,mozilla.org,A,NOERROR,44.236.72.93,300
D00199,2026-08-12 04:09:34,10.14.5.4,ietf.org,A,NOERROR,104.16.44.99,300
D00200,2026-08-12 04:10:25,10.14.7.23,mozilla.org,A,NOERROR,44.236.72.93,600
D00201,2026-08-12 04:10:31,10.14.7.23,ietf.org,A,NOERROR,104.16.44.99,60
D00202,2026-08-12 04:39:11,10.14.5.4,google.com,A,NOERROR,142.250.74.14,60
D00203,2026-08-12 04:41:33,10.14.9.18,ietf.org,A,NOERROR,104.16.44.99,1800
D00204,2026-08-12 04:41:33,10.14.5.4,namibian.com.na,A,NOERROR,197.221.2.4,300
D00205,2026-08-12 05:01:00,10.20.9.10,office.com,A,NOERROR,13.107.6.156,600
D00206,2026-08-12 05:52:41,10.20.9.10,ietf.org,A,NOERROR,104.16.44.99,600
D00207,2026-08-12 05:55:33,10.14.9.18,office.com,A,NOERROR,13.107.6.156,600
D00208,2026-08-12 06:10:13,10.14.8.11,microsoft.com,A,NOERROR,20.112.52.29,1800
D00209,2026-08-12 06:21:13,10.14.9.18,microsoft.com,A,NOERROR,20.112.52.29,60
D00210,2026-08-12 06:53:12,10.14.8.11,namibian.com.na,A,NOERROR,197.221.2.4,1800
D00211,2026-08-12 07:04:14,10.14.8.11,namibian.com.na,A,NOERROR,197.221.2.4,300
D00212,2026-08-12 07:06:39,10.14.7.23,namibian.com.na,A,NOERROR,197.221.2.4,1800
D00213,2026-08-12 07:19:55,10.14.5.4,microsoft.com,A,NOERROR,20.112.52.29,600
D00214,2026-08-12 07:21:04,10.20.9.10,cloudflare.com,A,NOERROR,104.16.132.229,600
D00215,2026-08-12 07:23:25,10.14.7.23,nust.na,A,NOERROR,196.216.167.4,300
D00216,2026-08-12 07:25:32,10.20.9.10,github.com,A,NOERROR,140.82.121.4,1800
D00217,2026-08-12 07:46:02,10.14.5.4,nust.na,A,NOERROR,196.216.167.4,300
D00218,2026-08-12 07:52:05,10.20.9.10,github.com,A,NOERROR,140.82.121.4,1800
D00219,2026-08-12 07:52:46,10.14.5.4,microsoft.com,A,NOERROR,20.112.52.29,60
D00220,2026-08-12 08:05:01,10.20.9.10,nust.na,A,NOERROR,196.216.167.4,600
D00221,2026-08-12 08:08:04,10.14.9.18,namibian.com.na,A,NOERROR,197.221.2.4,1800
D00222,2026-08-12 08:37:46,10.14.5.4,namibian.com.na,A,NOERROR,197.221.2.4,300
D00223,2026-08-12 09:31:16,10.14.7.23,windowsupdate.com,A,NOERROR,13.107.4.50,1800
D00224,2026-08-12 09:53:21,10.14.5.4,windowsupdate.com,A,NOERROR,13.107.4.50,600
D00225,2026-08-12 09:56:41,10.14.5.4,ubuntu.com,A,NOERROR,185.125.190.29,1800
D00226,2026-08-12 09:58:06,10.14.9.18,office.com,A,NOERROR,13.107.6.156,600
D00227,2026-08-12 10:15:56,10.14.7.23,windowsupdate.com,A,NOERROR,13.107.4.50,60
D00228,2026-08-12 10:47:04,10.20.9.10,ietf.org,A,NOERROR,104.16.44.99,300
D00229,2026-08-12 11:03:58,10.14.9.18,windowsupdate.com,A,NOERROR,13.107.4.50,300
D00230,2026-08-12 11:58:31,10.14.5.4,namibian.com.na,A,NOERROR,197.221.2.4,600
D00231,2026-08-12 12:01:28,10.14.5.4,namibian.com.na,A,NOERROR,197.221.2.4,1800
D00232,2026-08-12 12:05:53,10.14.9.18,google.com,A,NOERROR,142.250.74.14,300
D00233,2026-08-12 12:38:35,10.14.5.4,windowsupdate.com,A,NOERROR,13.107.4.50,60
D00234,2026-08-12 12:39:48,10.14.5.4,akamaiedge.net,A,NOERROR,23.45.67.89,600
D00235,2026-08-12 13:11:43,10.20.9.10,microsoft.com,A,NOERROR,20.112.52.29,1800
D00236,2026-08-12 13:57:57,10.14.9.18,google.com,A,NOERROR,142.250.74.14,300
D00237,2026-08-12 14:05:16,10.14.9.18,google.com,A,NOERROR,142.250.74.14,600
D00238,2026-08-12 14:06:15,10.14.5.4,mozilla.org,A,NOERROR,44.236.72.93,60
D00239,2026-08-12 14:09:00,10.14.5.4,ubuntu.com,A,NOERROR,185.125.190.29,1800
D00240,2026-08-12 14:18:54,10.14.9.18,ubuntu.com,A,NOERROR,185.125.190.29,1800
D00241,2026-08-12 14:26:31,10.14.9.18,windowsupdate.com,A,NOERROR,13.107.4.50,1800
D00242,2026-08-12 15:10:00,10.20.9.10,microsoft.com,A,NOERROR,20.112.52.29,300
D00243,2026-08-12 15:37:14,10.14.8.11,office.com,A,NOERROR,13.107.6.156,600
D00244,2026-08-12 15:56:32,10.20.9.10,github.com,A,NOERROR,140.82.121.4,1800
D00245,2026-08-12 16:32:04,10.20.9.10,nust.na,A,NOERROR,196.216.167.4,600
D00246,2026-08-12 16:38:04,10.14.5.4,ietf.org,A,NOERROR,104.16.44.99,300
D00247,2026-08-12 16:55:24,10.14.8.11,mozilla.org,A,NOERROR,44.236.72.93,1800
D00248,2026-08-12 16:59:32,10.14.5.4,ietf.org,A,NOERROR,104.16.44.99,60
D00249,2026-08-12 17:10:40,10.14.5.4,namibian.com.na,A,NOERROR,197.221.2.4,600
D00250,2026-08-12 17:14:12,10.14.7.23,office.com,A,NOERROR,13.107.6.156,600
D00251,2026-08-12 17:23:08,10.14.5.4,office.com,A,NOERROR,13.107.6.156,300
D00252,2026-08-12 17:48:49,10.14.9.18,akamaiedge.net,A,NOERROR,23.45.67.89,60
D00253,2026-08-12 17:54:15,10.14.8.11,github.com,A,NOERROR,140.82.121.4,1800
D00254,2026-08-12 17:56:28,10.14.5.4,mozilla.org,A,NOERROR,44.236.72.93,600
D00255,2026-08-12 18:35:32,10.14.5.4,ietf.org,A,NOERROR,104.16.44.99,300
D00256,2026-08-12 18:52:45,10.20.9.10,mozilla.org,A,NOERROR,44.236.72.93,1800
D00257,2026-08-12 20:12:28,10.14.7.23,microsoft.com,A,NOERROR,20.112.52.29,600
D00258,2026-08-12 20:42:53,10.14.8.11,namibian.com.na,A,NOERROR,197.221.2.4,1800
D00259,2026-08-12 21:13:59,10.14.9.18,github.com,A,NOERROR,140.82.121.4,1800
D00260,2026-08-12 21:40:15,10.14.5.4,cloudflare.com,A,NOERROR,104.16.132.229,300
D00261,2026-08-12 21:41:58,10.14.5.4,google.com,A,NOERROR,142.250.74.14,60
D00262,2026-08-12 21:42:01,10.14.9.18,akamaiedge.net,A,NOERROR,23.45.67.89,1800
D00263,2026-08-12 21:46:28,10.20.9.10,windowsupdate.com,A,NOERROR,13.107.4.50,60
D00264,2026-08-12 21:46:57,10.14.8.11,mozilla.org,A,NOERROR,44.236.72.93,1800
D00265,2026-08-12 22:01:00,10.14.8.11,google.com,A,NOERROR,142.250.74.14,600
D00266,2026-08-12 22:19:19,10.14.8.11,ubuntu.com,A,NOERROR,185.125.190.29,600
D00267,2026-08-12 22:35:46,10.14.9.18,windowsupdate.com,A,NOERROR,13.107.4.50,60
D00268,2026-08-12 22:49:23,10.14.9.18,office.com,A,NOERROR,13.107.6.156,1800
D00269,2026-08-12 22:58:10,10.14.8.11,mozilla.org,A,NOERROR,44.236.72.93,1800
D00270,2026-08-12 23:01:40,10.14.7.23,akamaiedge.net,A,NOERROR,23.45.67.89,600
D00271,2026-08-12 23:38:23,10.20.9.10,mozilla.org,A,NOERROR,44.236.72.93,1800
D00272,2026-08-12 23:41:37,10.20.9.10,office.com,A,NOERROR,13.107.6.156,60
D00273,2026-08-12 23:52:38,10.14.5.4,cloudflare.com,A,NOERROR,104.16.132.229,600
D00274,2026-08-12 23:55:00,10.20.9.10,ubuntu.com,A,NOERROR,185.125.190.29,60
D00275,2026-08-13 00:05:39,10.14.7.23,github.com,A,NOERROR,140.82.121.4,300
D00276,2026-08-13 00:13:35,10.14.5.4,cloudflare.com,A,NOERROR,104.16.132.229,600
D00277,2026-08-13 00:30:14,10.20.9.10,akamaiedge.net,A,NOERROR,23.45.67.89,60
D00278,2026-08-13 00:35:18,10.14.9.18,microsoft.com,A,NOERROR,20.112.52.29,600
D00279,2026-08-13 01:59:19,10.14.9.18,cloudflare.com,A,NOERROR,104.16.132.229,1800
